row_label_raw,row_label_full,Subsidiary/associate,Location,Proportion of ownership Interest (%),Proportion of voting power held (%),Main business,numeric__Location,numeric__Proportion of ownership Interest (%),numeric__Proportion of voting power held (%),numeric__Main business
Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,Subsidiaries,,,,
1. Central PetroVietnam,Subsidiaries > 1. Central PetroVietnam,1. Central PetroVietnam,Binh Dinh,75.00,75.00,Trade In fertilizer and chemicals,,7500.0,7500.0,
Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,Province,,,,,,,
2. SouthWest PetroVietnam,Fertilizer and Chemicals JSC > 2. SouthWest PetroVietnam,2. SouthWest PetroVietnam,Can Tho City,75.00,75.00,Trade in fertilizer and chemicals,,7500.0,7500.0,
Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,,,,,,,,
3. SouthEast PetroVietnam,Fertilizer and Chemicals JSC > 3. SouthEast PetroVietnam,3. SouthEast PetroVietnam,Ho Chi Minh,75.00,75.00,Trade in fertilizer and chemicals,,7500.0,7500.0,
Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,City,,,,,,,
4. Northern PetroVietnam,Fertilizer and Chemicals JSC > 4. Northern PetroVietnam,4. Northern PetroVietnam,Hanoi,75.00,75.00,Trade in fertilizer and chemicals,,7500.0,7500.0,
Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,Fertilizer and Chemicals JSC,,,,,,,,
Associates,Associates,Associates,Associates,Associates,Associates,Associates,,,,
1. Dam Phu My Packaging Joint Stock Company,Associates > 1. Dam Phu My Packaging Joint Stock Company,1. Dam Phu My Packaging Joint Stock Company,Ba Ria - Vung,43.34,43.34,Production of packages,,4334.0,4334.0,
1. Dam Phu My Packaging Joint Stock Company,1. Dam Phu My Packaging Joint Stock Company,1. Dam Phu My Packaging Joint Stock Company,Tau Province,,,,,,,
2. PetroVietnam Urban Development JSC,1. Dam Phu My Packaging Joint Stock Company > 2. PetroVietnam Urban Development JSC,2. PetroVietnam Urban Development JSC,Can Tho City,35.63,35.63,Construction and installation of civil and industrial works and services provision,,3563.0,3563.0,
3. Vietnam Petrochemical and Fiber JSC,1. Dam Phu My Packaging Joint Stock Company > 3. Vietnam Petrochemical and Fiber JSC,3. Vietnam Petrochemical and Fiber JSC,Hai Phong City,25.99,25.99,Production and sale of polyester fibers,,2599.0,2599.0,
