row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",3 - 25,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",3 - 15,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,5 - 10,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 9,
Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,3 - 15,
