row_label_raw,row_label_full,col_0,Owners'contributedcapital,Share premium,Treasury shares,Investment anddevelopment fund,Retainedearnings,Subtotal,Non-controllinginterests,Total,numeric__Owners'contributedcapital,numeric__Share premium,numeric__Treasury shares,numeric__Investment anddevelopment fund,numeric__Retainedearnings,numeric__Subtotal,numeric__Non-controllinginterests,numeric__Total
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Prior year's openingbalance,Prior year's openingbalance,Prior year's openingbalance,"3,914,000,000,000","21,179,913,858","(2,296,824,120)","3,497,039,984,859","6,401,099,929,390","13,831,023,003,987","186,415,760,581","14,017,438,764,568",,,,,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,-,"519,466,561,842","519,466,561,842","10,350,358,680","529,816,920,522",,,,,,,,
Distributions to,Distributions to,Distributions to,-,-,-,"1,102,139,517,511","(1,102,139,517,511)",-,-,-,,,,,,,,
Distributions to bonus andwelfare funds,Distributions to bonus andwelfare funds,Distributions to bonus andwelfare funds,-,-,-,-,"(240,143,117,072)","(240,143,117,072)","(2,357,372,358)","(242,500,489,430)",,,,,,,,
Dividends paid by cash,Dividends paid by cash,Dividends paid by cash,-,-,-,-,"(2,739,339,820,000)","(2,739,339,820,000)","(19,612,500,000)","(2,758,952,320,000)",,,,,,,,
Other decreases,Other decreases,Other decreases,-,-,-,-,"(603,101,816)","(603,101,816)",-,"(603,101,816)",,,,,,,,
Prior year's closing balance,Prior year's closing balance,Prior year's closing balance,"3,914,000,000,000","21,179,913,858","(2,296,824,120)","4,599,179,502,370","2,838,340,934,833","11,370,403,526,941","174,796,246,903","11,545,199,773,844",,,,,,,,
Current year's openingbalance,Current year's openingbalance,Current year's openingbalance,"3,914,000,000,000","21,179,913,858","(2,296,824,120)","4,599,179,502,370","2,838,340,934,833","11,370,403,526,941","174,796,246,903","11,545,199,773,844",,,,,,,,
Profit for the year,Profit for the year,Profit for the year,-,-,-,-,"537,763,664,155","537,763,664,155","16,502,877,343","554,266,541,498",,,,,,,,
Distributions to bonusand welfare funds (i),Distributions to bonusand welfare funds (i),Distributions to bonusand welfare funds (i),-,-,-,-,"(123,057,031,308)","(123,057,031,308)","(3,369,343,765)","(126,436,375,073)",,,,,,,,
Dividends paid by cash (ii),Dividends paid by cash (ii),Dividends paid by cash (ii),-,-,-,-,"(782,668,520,000)","(782,668,520,000)","(10,525,000,000)","(793,193,520,000)",,,,,,,,
Current year's closingbalance,Current year's closingbalance,Current year's closingbalance,"3,914,000,000,000","21,179,913,858","(2,296,824,120)","4,599,179,502,370","2,470,369,047,680","11,002,431,639,788","177,404,780,481","11,179,836,420,269",,,,,,,,
