row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND Amount/ Amount able to be paid off,VND Amount/ Amount able to be paid off,,
a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,a. Short-term trade payables which are not from related parties,,
Technip Italy S.p.A,Technip Italy S.p.A,Technip Italy S.p.A,"6,241,005,205","13,896,504,050",,
Green Leaf International Company Limited,Green Leaf International Company Limited,Green Leaf International Company Limited,"6,644,636,920","6,329,324,980",,
CMC Technology and Solution Company Limited,CMC Technology and Solution Company Limited,CMC Technology and Solution Company Limited,,"6,854,085,000",,
Others,Others,Others,"158,466,644,750","182,426,883,186",,
,,,"171,352,286,875","209,506,797,216",,
b. Short-term trade payables to related parties (Details stated in Note 36),b. Short-term trade payables to related parties (Details stated in Note 36),b. Short-term trade payables to related parties (Details stated in Note 36),"519,675,248,748","558,935,632,274",,
,,,"519,675,248,748","558,935,632,274",,
Total,Total,Total,"691,027,535,623","768,442,429,490",,
