row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance,numeric__Opening balance_1
,,,Cost,VND Provision,Cost,VND Provision,,,,
a. Inventories,a. Inventories,a. Inventories,a. Inventories,a. Inventories,a. Inventories,a. Inventories,,,,
Goods in transit,Goods in transit,Goods in transit,"139,685,656,142",-,"70,606,174,026",-,,,,
Raw materials,Raw materials,Raw materials,"450,474,860,815","(4,211,883)","309,731,169,770","(73,056,320)",,,,
Tools and supplies,Tools and supplies,Tools and supplies,"3,318,219,366",-,"7,276,696,097",-,,,,
Work in progress,Work in progress,Work in progress,"19,264,251,889",-,"75,591,581,221",-,,,,
Finished goods,Finished goods,Finished goods,"942,280,185,563",-,"1,212,216,519,901","(30,883,284,630)",,,,
Merchandise,Merchandise,Merchandise,"176,311,582,461","(645,712,592)","266,686,933,735","(312,126,586)",,,,
,,,"1,731,334,756,236","(649,924,475)","1,942,109,074,750","(31,268,467,536)",,,,
b. Long-term reserved spare parts,b. Long-term reserved spare parts,b. Long-term reserved spare parts,"128,013,698,990",-,"129,152,858,473",-,,,,
