row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Current,a. Current,a. Current,a. Current,a. Current,,
Payble to Vietnam Oil and Gas Group relating to guarantee obligation (Details stated in Note 35),Payble to Vietnam Oil and Gas Group relating to guarantee obligation (Details stated in Note 35),Payble to Vietnam Oil and Gas Group relating to guarantee obligation (Details stated in Note 35),"127,619,090,471",-,,
Dividend payables,Dividend payables,Dividend payables,"27,927,718,759","36,212,473,534",,
Short-term deposits received,Short-term deposits received,Short-term deposits received,"8,183,464,932","7,558,772,997",,
Others,Others,Others,"24,785,681,180","28,069,629,663",,
,,,"188,515,955,342","71,840,876,194",,
In which:,In which:,In which:,In which:,In which:,,
Other short-term payables to related parties (Details stated in Note 36),Other short-term payables to related parties (Details stated in Note 36),Other short-term payables to related parties (Details stated in Note 36),"129,974,954,783","2,242,515,552",,
b. Non-current,b. Non-current,b. Non-current,b. Non-current,b. Non-current,,
Long-term deposits received,Long-term deposits received,Long-term deposits received,"2,807,058,000","2,219,808,500",,
,,,"2,807,058,000","2,219,808,500",,
