row_label_raw,row_label_full,col_0,Years,numeric__Years
"Buildings, structures","Buildings, structures","Buildings, structures",3 - 25,
"Machinery, equipment","Machinery, equipment","Machinery, equipment",3 - 15,
Motor vehicles,Motor vehicles,Motor vehicles,5 - 10,
Office equipment,Office equipment,Office equipment,3 - 9,
Others,Others,Others,3 - 15,
