row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Closing balance_2,Opening balance,Opening balance_1,Opening balance_2,numeric__Closing balance,numeric__Closing balance_1,numeric__Closing balance_2,numeric__Opening balance,numeric__Opening balance_1,numeric__Opening balance_2
,,,Cost,VND,VND,Cost,VND,VND,,,,,,
,,,Cost,Provision,Fair value,Cost,Provision,Fair value,,,,,,
Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,Equity investments in other entities,,,,,,
Petroleum Information Technology Telecom and Automation JSC,Petroleum Information Technology Telecom and Automation JSC,Petroleum Information Technology Telecom and Automation JSC,"3,600,000,000",-,(i),"3,600,000,000",-,(i),,,,,,
Ut Xi Aquatic Products Processing JSC,Ut Xi Aquatic Products Processing JSC,Ut Xi Aquatic Products Processing JSC,"16,902,000,000 (16,902,000,000)",(i),,"16,902,000,000","(16,902,000,000)",(i),,,,,,
,,,"20,502,000,000 (16,902,000,000)",,,"20,502,000,000","(16,902,000,000)",,,,,,,
