row_label_raw,row_label_full,col_0,RESOURCES,Codes,Notes,Closing balance,Opening balance,numeric__RESOURCES,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
C.,C.,C.,LIABILITIES,300,,"5,372,450,027,238","1,764,060,255,739",,300.0,,,
I.,I.,I.,Current liabilities,310,,"5,198,718,914,842","1,484,492,945,240",,310.0,,,
1.,1.,1.,Short-term trade payables,311,19,"691,027,535,623","768,442,429,490",,311.0,19.0,,
2.,2.,2.,Short-term advances from customers,312,20,"216,889,576,593","124,312,355,882",,312.0,20.0,,
3.,3.,3.,Taxes and amounts payable to the State budget,313,16,"58,254,209,708","6,127,123,790",,313.0,16.0,,
4.,4.,4.,Payables to employees,314,,"177,347,094,144","164,498,016,812",,314.0,,,
5.,5.,5.,Short-term accrued expenses,315,21,"121,855,980,698","239,514,869,880",,315.0,21.0,,
6.,6.,6.,Short-term unearned revenue,318,,"18,181,819","18,181,819",,318.0,,,
7.,7.,7.,Other current payables,319,22,"188,515,955,342","71,840,876,194",,319.0,22.0,,
8.,8.,8.,Short-term loans and obligations under finance leases,320,24,"3,422,025,863,029",-,,320.0,24.0,,
9.,9.,9.,Short-term provisions,321,23,"253,973,730,976","8,176,000,000",,321.0,23.0,,
10.,10.,10.,Bonus and welfare funds,322,,"68,810,786,910","101,563,091,373",,322.0,,,
II.,II.,II.,Long-term liabilities,330,,"173,731,112,396","279,567,310,499",,330.0,,,
1.,1.,1.,Other long-term payables,337,22,"2,807,058,000","2,219,808,500",,337.0,22.0,,
2.,2.,2.,Deferred tax liabilities,341,,"132,540,000,000","132,540,000,000",,341.0,,,
3.,3.,3.,Long-term provisions,342,23,-,"102,177,312,389",,342.0,23.0,,
4.,4.,4.,Scientific and technological development fund,343,,"38,384,054,396","42,630,189,610",,343.0,,,
