row_label_raw,row_label_full,Ngoại tệ các loại,Ngoại tệ các loại_1,Ngoại tệ các loại_2,numeric__Ngoại tệ các loại_1,numeric__Ngoại tệ các loại_2
,,,Số cuối năm,Số đầu năm,,
Đô La Mỹ (USD),Đô La Mỹ (USD),Đô La Mỹ (USD),13.345.293,5.341.665,13345293.0,5341665.0
Euro (EUR),Euro (EUR),Euro (EUR),32.629,32.547,32629.0,32547.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,,
,,,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn:,,
Trong vòng một năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn: > Trong vòng một năm,Trong vòng một năm,24.301.530.549,23.225.837.580,24301530549.0,23225837580.0
Từ năm thứ hai đến năm thứ năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn: > Từ năm thứ hai đến năm thứ năm,Từ năm thứ hai đến năm thứ năm,97.206.122.196,90.278.317.080,97206122196.0,90278317080.0
Sau năm năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn: > Sau năm năm,Sau năm năm,461.729.080.431,473.961.164.670,461729080431.0,473961164670.0
,,,583.236.733.176,587.465.319.330,583236733176.0,587465319330.0
