row_label_raw,row_label_full,col_0,Current year,Prior year,numeric__Current year,numeric__Prior year
,,,VND,VND,,
Revenue from sale of merchandise and services,Revenue from sale of merchandise and services,Revenue from sale of merchandise and services,Revenue from sale of merchandise and services,Revenue from sale of merchandise and services,,
Sales of fertilizers,Sales of fertilizers,Sales of fertilizers,"10,890,954,163,389","10,695,632,321,267",,
Sales of chemicals,Sales of chemicals,Sales of chemicals,"815,503,580,315","840,512,835,832",,
Others,Others,Others,"42,643,980,801","37,553,125,063",,
,,,"11,749,101,724,505","11,573,698,282,162",,
Deductions,Deductions,Deductions,Deductions,Deductions,,
Sales discount,Sales discount,Sales discount,"160,643,190,910","148,747,331,420",,
,,,"160,643,190,910","148,747,331,420",,
Net revenue of merchandise and services,Net revenue of merchandise and services,Net revenue of merchandise and services,"11,588,458,533,595","11,424,950,950,742",,
