row_label_raw,row_label_full,col_0,Closing balance,Closing balance_1,Opening balance,numeric__Closing balance,numeric__Closing balance_1,numeric__Opening balance
,,,VND,VND,VND,,,
Ngoc Lan Production Trade Company Limited,Ngoc Lan Production Trade Company Limited,Ngoc Lan Production Trade Company Limited,"9,153,800,000","9,153,800,000","9,153,800,000",,,
Goods that subsidiaries hold for third parties,Goods that subsidiaries hold for third parties,Goods that subsidiaries hold for third parties,Goods that subsidiaries hold for third parties,Goods that subsidiaries hold for third parties,Goods that subsidiaries hold for third parties,,,
,,,Unit,Closing balance,Opening balance,,,
Northern PetroVietnam Fertilizer and Chemicals JSC,Goods that subsidiaries hold for third parties > Northern PetroVietnam Fertilizer and Chemicals JSC,Northern PetroVietnam Fertilizer and Chemicals JSC,Ton,"15,257.90","25,653.75",,15.2579,25.65375
Central PetroVietnam Fertilizer and Chemicals JSC,Goods that subsidiaries hold for third parties > Central PetroVietnam Fertilizer and Chemicals JSC,Central PetroVietnam Fertilizer and Chemicals JSC,Ton,"14,123.45","10,385.30",,14.12345,10.3853
SouthEast PetroVietnam Fertilizer and Chemicals JSC,Goods that subsidiaries hold for third parties > SouthEast PetroVietnam Fertilizer and Chemicals JSC,SouthEast PetroVietnam Fertilizer and Chemicals JSC,Ton,"14,085.15",-,,14.08515,
SouthWest PetroVietnam Fertilizer and Chemicals JSC,Goods that subsidiaries hold for third parties > SouthWest PetroVietnam Fertilizer and Chemicals JSC,SouthWest PetroVietnam Fertilizer and Chemicals JSC,Ton,"19,527.60","45,118.08",,19.5276,45.11808
,,,,"62,994.10","81,157.13",,62.9941,81.15713
