row_label_raw,row_label_full,col_0,Land use rights,Land use rights_1,Buildings and structures,Buildings and structures_1,Total,Total_1,numeric__Land use rights,numeric__Land use rights_1,numeric__Buildings and structures,numeric__Buildings and structures_1,numeric__Total,numeric__Total_1
,,,VND,VND,VND,VND,VND,VND,,,,,,
COST,COST,COST,COST,COST,COST,COST,COST,COST,,,,,,
Opening balance,Opening balance,Opening balance,"99,499,152,000","99,499,152,000","218,454,390,202","218,454,390,202","317,953,542,202","317,953,542,202",,,,,,
Closing balance,Closing balance,Closing balance,"99,499,152,000","99,499,152,000","218,454,390,202","218,454,390,202","317,953,542,202","317,953,542,202",,,,,,
ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,ACCUMULATED DEPRECIATION,,,,,,
Opening balance,Opening balance,Opening balance,"13,681,075,533","13,681,075,533","113,815,821,098","113,815,821,098","127,496,896,631","127,496,896,631",,,,,,
Charge for the year,Charge for the year,Charge for the year,"1,005,683,040","1,005,683,040","8,678,063,921","8,678,063,921","9,683,746,961","9,683,746,961",,,,,,
Closing balance,Closing balance,Closing balance,"14,686,758,573","14,686,758,573","122,493,885,019","122,493,885,019","137,180,643,592","137,180,643,592",,,,,,
NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,NET BOOK VALUE,,,,,,
Opening balance,Opening balance,Opening balance,"85,818,076,467","85,818,076,467","104,638,569,104","104,638,569,104","190,456,645,571","190,456,645,571",,,,,,
Closing balance,Closing balance,Closing balance,"84,812,393,427","84,812,393,427","95,960,505,183","95,960,505,183","180,772,898,610","180,772,898,610",,,,,,
List of investment properties,List of investment properties,List of investment properties,List of investment properties,List of investment properties,List of investment properties,List of investment properties,List of investment properties,List of investment properties,,,,,,
,,,Closing balance,Closing balance,Closing balance,Closing balance,Opening balance,Opening balance,,,,,,
,,,Cost,Accumulated Depreciation,VND Carrying amount,Cost,Accumulated Depreciation,VND Carrying amount,,,,,,
"Dong Tay Building at No 27 Dinh Bo Linh Street, Ho Chi Minh City","Dong Tay Building at No 27 Dinh Bo Linh Street, Ho Chi Minh City","Dong Tay Building at No 27 Dinh Bo Linh Street, Ho Chi Minh City","90,358,442,144","25,683,588,643","64,674,853,501","90,358,442,144","24,097,962,643","66,260,479,501",,,,,,
Cuu Long Supermarket and Office Building in Ca Mau Province,Cuu Long Supermarket and Office Building in Ca Mau Province,Cuu Long Supermarket and Office Building in Ca Mau Province,"157,460,134,120","77,594,655,574","79,865,478,546","157,460,134,120","72,301,933,250","85,158,200,870",,,,,,
"PVFCCo Building at No 43 Mac Dinh Chi Street, Ho Chi Minh City","PVFCCo Building at No 43 Mac Dinh Chi Street, Ho Chi Minh City","PVFCCo Building at No 43 Mac Dinh Chi Street, Ho Chi Minh City","70,134,965,938","33,902,399,375","36,232,566,563","70,134,965,938","31,097,000,738","39,037,965,200",,,,,,
,,,"317,953,542,202","137,180,643,592","180,772,898,610","317,953,542,202","127,496,896,631","190,456,645,571",,,,,,
