row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Short-term advances to suppliers which are not related parties,a. Short-term advances to suppliers which are not related parties,a. Short-term advances to suppliers which are not related parties,a. Short-term advances to suppliers which are not related parties,a. Short-term advances to suppliers which are not related parties,,
"Tri Viet Trading Engineering Co., Ltd","Tri Viet Trading Engineering Co., Ltd","Tri Viet Trading Engineering Co., Ltd","122,190,000,000",-,,
BORSIG Process Heat Exchange GmbH,BORSIG Process Heat Exchange GmbH,BORSIG Process Heat Exchange GmbH,"17,067,491,200",-,,
Mico Mineral Industry Joint Stock Company,Mico Mineral Industry Joint Stock Company,Mico Mineral Industry Joint Stock Company,-,"3,220,800,000",,
Others,Others,Others,"45,582,783,308","17,330,348,608",,
,,,"184,840,274,508","20,551,148,608",,
b. Short-term advances to related parties (Details stated in Note 36),b. Short-term advances to related parties (Details stated in Note 36),b. Short-term advances to related parties (Details stated in Note 36),b. Short-term advances to related parties (Details stated in Note 36),b. Short-term advances to related parties (Details stated in Note 36),,
,,,"42,705,188,603","35,737,537,839",,
,,,"42,705,188,603","35,737,537,839",,
Total,Total,Total,"227,545,463,111","56,288,686,447",,
