row_label_raw,row_label_full,Ông Huỳnh Klm Nhân,Trường ban kiểm soát,numeric__Trường ban kiểm soát
Ông Lương Phương,Ông Lương Phương,Ông Lương Phương,Thành viên,
Bà Trần Thị Phương,Bà Trần Thị Phương,Bà Trần Thị Phương,Thành viên,
