row_label_raw,row_label_full,col_0,Current year,Prior year (Restated),numeric__Current year,numeric__Prior year (Restated)
Profit after corporate income tax (VND),Profit after corporate income tax (VND),Profit after corporate income tax (VND),"537,763,664,155","519,466,561,842",,
Decreasing adjustments to profit to determine profit attributable to ordinary shareholders:,Decreasing adjustments to profit to determine profit attributable to ordinary shareholders:,Decreasing adjustments to profit to determine profit attributable to ordinary shareholders:,,,,
Distributions to bonus and welfare fund (VND),Distributions to bonus and welfare fund (VND),Distributions to bonus and welfare fund (VND),"(116,095,312,525)","(116,971,718,783)",,
Profit attributable to ordinary shareholders (VND),Profit attributable to ordinary shareholders (VND),Profit attributable to ordinary shareholders (VND),"421,668,351,630","402,494,843,059",,
Average ordinary shares in circulation for the year (shares),Average ordinary shares in circulation for the year (shares),Average ordinary shares in circulation for the year (shares),"391,334,260","391,334,260",,
Basic earnings per share (VND/share),Average ordinary shares in circulation for the year (shares) > Basic earnings per share (VND/share),Basic earnings per share (VND/share),"1,078","1,029",1.078,1.029
