row_label_raw,row_label_full,col_0,ASSETS,Codes,Notes,Closing balance,Opening balance,numeric__ASSETS,numeric__Codes,numeric__Notes,numeric__Closing balance,numeric__Opening balance
B.,B.,B.,NON-CURRENT ASSETS,200,,"3,332,712,856,166","3,744,153,277,315",,200.0,,,
I.,I.,I.,Long-term receivables,210,,"1,125,000,000","876,100,000",,210.0,,,
1.,1.,1.,Other long-term receivables,216,8,"1,125,000,000","876,100,000",,216.0,8.0,,
II.,II.,II.,Fixed assets,220,,"2,711,222,351,120","2,988,445,788,293",,220.0,,,
1.,1.,1.,Tangible fixed assets,221,13,"1,852,113,498,553","2,154,198,652,529",,221.0,13.0,,
,,,- Cost,222,,"11,632,992,941,593","11,574,815,724,954",,222.0,,,
,,,- Accumulated depreciation,223,,"(9,780,879,443,040)","(9,420,617,072,425)",,223.0,,,
2.,2.,2.,Intangible assets,227,14,"859,108,852,567","834,247,135,764",,227.0,14.0,,
,,,- Cost,228,,"1,220,829,677,992","1,182,099,652,534",,228.0,,,
,,,- Accumulated amortisation,229,,"(361,720,825,425)","(347,852,516,770)",,229.0,,,
III.,III.,III.,Investment property,230,15,"180,772,898,610","190,456,645,571",,230.0,15.0,,
,,,- Cost,231,,"317,953,542,202","317,953,542,202",,231.0,,,
,,,- Accumulated depreciation,232,,"(137,180,643,592)","(127,496,896,631)",,232.0,,,
IV.,IV.,IV.,Long-term assets in progress,240,,"89,432,287,256","261,326,265,034",,240.0,,,
1.,1.,1.,Construction in progress,242,17,"89,432,287,256","261,326,265,034",,242.0,17.0,,
V.,V.,V.,Long-term financial investments,250,,"34,189,383,462","33,359,983,256",,250.0,,,
1.,1.,1.,"Investments in joint-ventures, associates",252,18,"30,589,383,462","29,759,983,256",,252.0,18.0,,
2.,2.,2.,Equity investments in other entities,253,5,"20,502,000,000","20,502,000,000",,253.0,5.0,,
3.,3.,3.,Provision for impairment of long-term financial investments,254,5,"(16,902,000,000)","(16,902,000,000)",,254.0,5.0,,
VI.,VI.,VI.,Other long-term assets,260,,"315,970,935,718","269,688,495,161",,260.0,,,
1.,1.,1.,Long-term prepayments,261,11,"67,439,702,684","57,616,661,429",,261.0,11.0,,
2.,2.,2.,Deferred tax assets,262,12,"97,580,052,912","59,981,494,127",,262.0,12.0,,
3.,3.,3.,Long-term reserved spare parts,263,10,"128,013,698,990","129,152,858,473",,263.0,10.0,,
4.,4.,4.,Other long-term assets,268,,"22,937,481,132","22,937,481,132",,268.0,,,
,,,TOTAL ASSETS (270=100+200),270,,"16,552,286,447,507","13,309,260,029,583",,270.0,,,
