row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.372.450.027.238,1.764.060.255.739,,300.0,,5372450027238.0,1764060255739.0
I.,I.,I.,Nợ ngắn hạn,310,,5.198.718.914.842,1.484.492.945.240,,310.0,,5198718914842.0,1484492945240.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,19,691.027.535.623,768.442.429.490,,311.0,19.0,691027535623.0,768442429490.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,20,216.889.576.593,124.312.355.882,,312.0,20.0,216889576593.0,124312355882.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,58.254.209.708,6.127.123.790,,313.0,16.0,58254209708.0,6127123790.0
4.,4.,4.,Phải trả người lao động,314,,177.347.094.144,164.498.016.812,,314.0,,177347094144.0,164498016812.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,21,121.855.980.698,239.514.869.880,,315.0,21.0,121855980698.0,239514869880.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,18.181.819,18.181.819,,318.0,,18181819.0,18181819.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,188.515.955.342,71.840.876.194,,319.0,22.0,188515955342.0,71840876194.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,24,3.422.025.863.029,-,,320.0,24.0,3422025863029.0,
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,23,253.973.730.976,8.176.000.000,,321.0,23.0,253973730976.0,8176000000.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,68.810.786.910,101.563.091.373,,322.0,,68810786910.0,101563091373.0
II.,II.,II.,Nợ dài hạn,330,,173.731.112.396,279.567.310.499,,330.0,,173731112396.0,279567310499.0
1.,1.,1.,Phải trả dài hạn khác,337,22,2.807.058.000,2.219.808.500,,337.0,22.0,2807058000.0,2219808500.0
2.,2.,2.,Thuế thu nhập hoãn lại phải trả,341,,132.540.000.000,132.540.000.000,,341.0,,132540000000.0,132540000000.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,23,-,102.177.312.389,,342.0,23.0,,102177312389.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,,38.384.054.396,42.630.189.610,,343.0,,38384054396.0,42630189610.0
