row_label_raw,row_label_full,col_0,31/12/2015 > Giá trịVND,31/12/2015 > Số có khànăng trả nợVND,31/12/2014 > Giá trịVND,31/12/2014 > Số có khànăng trả nợVND,numeric__31/12/2015 > Giá trịVND,numeric__31/12/2015 > Số có khànăng trả nợVND,numeric__31/12/2014 > Giá trịVND,numeric__31/12/2014 > Số có khànăng trả nợVND
a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,a) Các khoản phải trả người bán là bên thứ ba,,,,
Công ty TNHH MTV Gas Venus,a) Các khoản phải trả người bán là bên thứ ba > Công ty TNHH MTV Gas Venus,Công ty TNHH MTV Gas Venus,54.686.153.111,54.686.153.111,-,-,54686153111.0,54686153111.0,,
Công ty TNHH Daishan Haizhou Shipyard,a) Các khoản phải trả người bán là bên thứ ba > Công ty TNHH Daishan Haizhou Shipyard,Công ty TNHH Daishan Haizhou Shipyard,21.327.500.000,21.327.500.000,-,-,21327500000.0,21327500000.0,,
Wallem Ship Management Ltd,a) Các khoản phải trả người bán là bên thứ ba > Wallem Ship Management Ltd,Wallem Ship Management Ltd,11.777.189.629,11.777.189.629,11.215.871.460,11.215.871.460,11777189629.0,11777189629.0,11215871460.0,11215871460.0
Công ty Hoàng Long,a) Các khoản phải trả người bán là bên thứ ba > Công ty Hoàng Long,Công ty Hoàng Long,-,-,3.852.450.000,3.852.450.000,,,3852450000.0,3852450000.0
Công ty Cổ phần Vận tải Hàng hải Quốc Việt,a) Các khoản phải trả người bán là bên thứ ba > Công ty Cổ phần Vận tải Hàng hải Quốc Việt,Công ty Cổ phần Vận tải Hàng hải Quốc Việt,10.009.543.285,10.009.543.285,10.009.543.285,10.009.543.285,10009543285.0,10009543285.0,10009543285.0,10009543285.0
Công ty TNHH Vận tải biển và Thương mai,a) Các khoản phải trả người bán là bên thứ ba > Công ty TNHH Vận tải biển và Thương mai,Công ty TNHH Vận tải biển và Thương mai,-,-,10.406.796.020,10.406.796.020,,,10406796020.0,10406796020.0
Phúc Hải Phong,Phúc Hải Phong,Phúc Hải Phong,,,,,,,,
Công ty Cổ phần Cung ứng Nhiên liệu tàu biển Vina,Phúc Hải Phong > Công ty Cổ phần Cung ứng Nhiên liệu tàu biển Vina,Công ty Cổ phần Cung ứng Nhiên liệu tàu biển Vina,-,-,15.507.823.360,15.507.823.360,,,15507823360.0,15507823360.0
Teekay chartering Ltd,Phúc Hải Phong > Teekay chartering Ltd,Teekay chartering Ltd,-,-,11.506.448.750,11.506.448.750,,,11506448750.0,11506448750.0
Phải trả cho các đối tượng khác,Phúc Hải Phong > Phải trả cho các đối tượng khác,Phải trả cho các đối tượng khác,183.016.239.026,183.016.239.026,172.571.008.197,172.571.008.197,183016239026.0,183016239026.0,172571008197.0,172571008197.0
b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,b) Phải trả người bán là các bên liên quan,,,,
Tập đoàn Dầu khí Quốc gia Việt Nam,b) Phải trả người bán là các bên liên quan > Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,189.660.576.000,189.660.576.000,41.378.373.115,41.378.373.115,189660576000.0,189660576000.0,41378373115.0,41378373115.0
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quát,b) Phải trả người bán là các bên liên quan > Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quát,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quát,168.120.672.732,168.120.672.732,31.289.894.507,31.289.894.507,168120672732.0,168120672732.0,31289894507.0,31289894507.0
Công ty TNHH MTV Kinh doanh Khí hóa lỏng Miền Đông,b) Phải trả người bán là các bên liên quan > Công ty TNHH MTV Kinh doanh Khí hóa lỏng Miền Đông,Công ty TNHH MTV Kinh doanh Khí hóa lỏng Miền Đông,60.579.676.813,60.579.676.813,16.596.698.464,16.596.698.464,60579676813.0,60579676813.0,16596698464.0,16596698464.0
CN Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,b) Phải trả người bán là các bên liên quan > CN Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,CN Tổng Công ty Khí Việt Nam - Công ty Cổ phần - Công ty Kinh doanh Sản phẩm khí,31.533.916.342,31.533.916.342,26.851.935.953,26.851.935.953,31533916342.0,31533916342.0,26851935953.0,26851935953.0
Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,Công ty Cổ phần Kinh doanh Khí hóa lỏng Miền Nam,27.687.583.875,27.687.583.875,71.006.438.384,71.006.438.384,27687583875.0,27687583875.0,71006438384.0,71006438384.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,b) Phải trả người bán là các bên liên quan > Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,Công ty Cổ phần Xăng dầu Dầu khí Vũng Tàu,24.092.547.500,24.092.547.500,-,-,24092547500.0,24092547500.0,,
Công ty TNHH MTV Lộc hóa dầu Bình Sơn,b) Phải trả người bán là các bên liên quan > Công ty TNHH MTV Lộc hóa dầu Bình Sơn,Công ty TNHH MTV Lộc hóa dầu Bình Sơn,11.983.020.011,11.983.020.011,13.934.400.782,13.934.400.782,11983020011.0,11983020011.0,13934400782.0,13934400782.0
