row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớn tài sản cố định VND,Dự phòng khác VND,Tổng cộng VND,numeric__Chi phí sửa chữa lớn tài sản cố định VND,numeric__Dự phòng khác VND,numeric__Tổng cộng VND
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,99.146.572.603,-,99.146.572.603,99146572603.0,,99146572603.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,142.713.519.897,1.765.354.102,144.478.873.999,142713519897.0,1765354102.0,144478873999.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(87.726.286.439),-,(87.726.286.439),-87726286439.0,,-87726286439.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(33.390.785.767),-,(33.390.785.767),-33390785767.0,,-33390785767.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,120.743.020.294,1.765.354.102,122.508.374.396,120743020294.0,1765354102.0,122508374396.0
Chi tiết,Chi tiết,Chi tiết,,31/12/2015,31/12/2014,,,
Chi tiết,Chi tiết,Chi tiết,,VND,VND,,,
Nợ ngắn hạn,Chi tiết > Nợ ngắn hạn,Nợ ngắn hạn,,84.190.081.945,-,,84190081945.0,
Nợ dài hạn,Chi tiết > Nợ dài hạn,Nợ dài hạn,,38.318.292.451,54.820.829.507,,38318292451.0,54820829507.0
,,,,122.508.374.396,54.820.829.507,,122508374396.0,54820829507.0
