row_label_raw,row_label_full,col_0,01/01/2015VND,Số phải thu trong nămVND,Số đã thực thu trong nămVND,31/12/2015VND,numeric__01/01/2015VND,numeric__Số phải thu trong nămVND,numeric__Số đã thực thu trong nămVND,numeric__31/12/2015VND
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế giá trị gia tăng,a) Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.468.217.837,1.136.403.140,3.582.256.233,22.364.744,2468217837.0,1136403140.0,3582256233.0,22364744.0
"Thuế xuất khẩu, nhập khẩu","a) Các khoản phải thu > Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",2.986.058.997,740.402.775,3.726.461.772,-,2986058997.0,740402775.0,3726461772.0,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,840.510.846,-,831.341.571,9.169.275,840510846.0,,831341571.0,9169275.0
Thuế thu nhập cá nhân,a) Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,192.317.688,-,185.597.758,6.719.930,192317688.0,,185597758.0,6719930.0
Thuế nhà thầu,a) Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,-,206.372.892,196.259.162,10.113.730,,206372892.0,196259162.0,10113730.0
Thuế khác,a) Các khoản phải thu > Thuế khác,Thuế khác,441.330.468,1.307.263.650,1.748.594.118,-,441330468.0,1307263650.0,1748594118.0,
,,,6.928.435.836,3.390.442.457,10.270.510.614,48.367.679,6928435836.0,3390442457.0,10270510614.0,48367679.0
,,,01/01/2015VND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,31/12/2015VND,,,,
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.128.296.786,113.547.486.804,103.610.670.707,12.065.112.883,2128296786.0,113547486804.0,103610670707.0,12065112883.0
"Thuế xuất, nhập khẩu","b) Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,685.547.775,685.547.775,-,,685547775.0,685547775.0,
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,24.695.270.585,114.030.999.366,101.252.758.152,37.473.511.799,24695270585.0,114030999366.0,101252758152.0,37473511799.0
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.876.652.403,37.727.951.997,36.448.655.961,4.155.948.439,2876652403.0,37727951997.0,36448655961.0,4155948439.0
Thuế nhà thầu,b) Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,1.497.020.557,18.908.030.749,20.216.150.757,188.900.549,1497020557.0,18908030749.0,20216150757.0,188900549.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,39.000.000,39.000.000,-,,39000000.0,39000000.0,
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,-,275.453.443,127.174.315,148.279.128,,275453443.0,127174315.0,148279128.0
,,,31.197.240.331,285.214.470.134,262.379.957.667,54.031.752.798,31197240331.0,285214470134.0,262379957667.0,54031752798.0
