row_label_raw,row_label_full,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu_1,Các khoản giảm trừ doanh thu_2,numeric__Các khoản giảm trừ doanh thu_1,numeric__Các khoản giảm trừ doanh thu_2
Chiết khấu thương mại,Chiết khấu thương mại,Chiết khấu thương mại,-,(389.418.250),,-389418250.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,5.761.450.705.430,5.267.603.309.032,5761450705430.0,5267603309032.0
