row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Tại ngày 01/01/2014,Tại ngày 01/01/2014,Tại ngày 01/01/2014,2.326.000.000.000,197.917.394.786,8.921.493.957,285.799.547.122,803.839.134.193,3.622.477.570.058,2326000000000.0,197917394786.0,8921493957.0,285799547122.0,803839134193.0,3622477570058.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,232.575.420.000,(93.040.000.000),-,(139.535.420.000),40.000.000,40.000.000,232575420000.0,-93040000000.0,,-139535420000.0,40000000.0,40000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,341.139.852.383,60.946.303.921,402.086.156.304,,,,341139852383.0,60946303921.0,402086156304.0
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,-,-,-,-,(19.303.890.029),(19.303.890.029),,,,,-19303890029.0,-19303890029.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,21.955.949.068,9.988.075.065,(31.944.024.133),(3.870.794.010),(3.870.794.010),,21955949068.0,9988075065.0,-31944024133.0,-3870794010.0,-3870794010.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(20.835.375.237),-,(20.835.375.237),,,,-20835375237.0,,-20835375237.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(5.956.369.027),-,(5.956.369.027),,,,-5956369027.0,,-5956369027.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(2.215.139.674),-,(2.215.139.674),,,,-2215139674.0,,-2215139674.0
Tại ngày 31/12/2014,Tại ngày 31/12/2014,Tại ngày 31/12/2014,2.558.575.420.000,126.833.343.854,18.909.569.022,426.453.071.434,841.650.754.075,3.972.422.158.385,2558575420000.0,126833343854.0,18909569022.0,426453071434.0,841650754075.0,3972422158385.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,,,,,150.000.000,150.000.000,,,,,150000000.0,150000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,,-,-,368.091.462.573,64.599.312.202,432.690.774.775,,,,368091462573.0,64599312202.0,432690774775.0
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,-,-,-,-,(39.581.231.942),(39.581.231.942),,,,,-39581231942.0,-39581231942.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,1.370.035.836,12.821.750.748,(14.191.786.584),-,-,,1370035836.0,12821750748.0,-14191786584.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(29.352.079.612),(3.483.436.190),(32.835.515.802),,,,-29352079612.0,-3483436190.0,-32835515802.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(1.421.605.109),(612.394.891),(2.034.000.000),,,,-1421605109.0,-612394891.0,-2034000000.0
Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,Điều chính lợi ích cổ đông không kiểm soát,-,-,-,(65.614.299.923),65.614.299.923,-,,,,-65614299923.0,65614299923.0,
Giảm khác,Giảm khác,Giảm khác,-,-,-,(5.556.032.880),182.620.365,(5.373.412.515),,,,-5556032880.0,182620365.0,-5373412515.0
Tại ngày 31/12/2015,Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.558.575.420.000,128.203.379.690,31.731.319.770,678.408.729.899,928.519.923.542,4.325.438.772.901,2558575420000.0,128203379690.0,31731319770.0,678408729899.0,928519923542.0,4325438772901.0
