row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Công tyVũng TàuVND > Tại ngày 31 tháng 12 năm 2014,Công tyHà NộiVND > Tại ngày 31 tháng 12 năm 2014,Công tyPhương NamVND > Tại ngày 31 tháng 12 năm 2014,Công tyThái Bình DươngVND > Tại ngày 31 tháng 12 năm 2014,Công tyĐông DươngVND > Tại ngày 31 tháng 12 năm 2014,Công tyCửu LongVND > Tại ngày 31 tháng 12 năm 2014,Công tySản phẩm khiVND > Tại ngày 31 tháng 12 năm 2014,Công tyPhương Đông ViệtVND > Tại ngày 31 tháng 12 năm 2014,Công tyQuảng NgãiVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyVũng TàuVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyHà NộiVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyPhương NamVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyThái Bình DươngVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyĐông DươngVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyCửu LongVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tySản phẩm khiVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyPhương Đông ViệtVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyQuảng NgãiVND > Tại ngày 31 tháng 12 năm 2014
Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,156.232.000.000,108.100.000.000,582.565.080.000,942.750.280.000,100.000.000.000,230.000.000.000,300.000.000.000,200.000.000.000,7.650.000.000,156232000000.0,108100000000.0,582565080000.0,942750280000.0,100000000000.0,230000000000.0,300000000000.0,200000000000.0,7650000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,,
- Vốn của Công ty mẹ,Trong đó: > - Vốn của Công ty mẹ,- Vốn của Công ty mẹ,156.000.000.000,107.800.000.000,405.632.000.000,612.000.000.000,38.670.000.000,52.037.720.000,203.209.000.000,137.869.870.000,7.600.000.000,156000000000.0,107800000000.0,405632000000.0,612000000000.0,38670000000.0,52037720000.0,203209000000.0,137869870000.0,7600000000.0
- Vốn của cổ đông không kiểm soát,Trong đó: > - Vốn của cổ đông không kiểm soát,- Vốn của cổ đông không kiểm soát,232.000.000,300.000.000,176.933.080.000,330.750.280.000,61.330.000.000,177.962.280.000,96.791.000.000,62.130.130.000,50.000.000,232000000.0,300000000.0,176933080000.0,330750280000.0,61330000000.0,177962280000.0,96791000000.0,62130130000.0,50000000.0
Tỷ lệ lợi ích của cổ đông không kiểm soát,Trong đó: > Tỷ lệ lợi ích của cổ đông không kiểm soát,Tỷ lệ lợi ích của cổ đông không kiểm soát,"0,15%","0,28%","30,37%","35,08%","61,33%","77,37%","32,26%","31,07%","0,65%",0.0015,0.0028000000000000004,0.3037,0.3508,0.6133,0.7737,0.3226,0.3107,0.006500000000000001
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,,,,,
Vốn điều lệ của công ty con,Tại ngày 31 tháng 12 năm 2015 > Vốn điều lệ của công ty con,Vốn điều lệ của công ty con,156.232.000.000,108.100.000.000,582.565.080.000,942.750.280.000,100.000.000.000,230.000.000.000,300.000.000.000,200.000.000.000,7.800.000.000,156232000000.0,108100000000.0,582565080000.0,942750280000.0,100000000000.0,230000000000.0,300000000000.0,200000000000.0,7800000000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,,
- Vốn của Công ty mẹ,Trong đó: > - Vốn của Công ty mẹ,- Vốn của Công ty mẹ,156.000.000.000,107.800.000.000,405.632.000.000,612.000.000.000,38.670.000.000,52.037.720.000,203.209.000.000,137.869.870.000,7.600.000.000,156000000000.0,107800000000.0,405632000000.0,612000000000.0,38670000000.0,52037720000.0,203209000000.0,137869870000.0,7600000000.0
- Vốn của cổ đông không kiểm soát,Trong đó: > - Vốn của cổ đông không kiểm soát,- Vốn của cổ đông không kiểm soát,232.000.000,300.000.000,176.933.080.000,330.750.280.000,61.330.000.000,177.962.280.000,96.791.000.000,62.130.130.000,200.000.000,232000000.0,300000000.0,176933080000.0,330750280000.0,61330000000.0,177962280000.0,96791000000.0,62130130000.0,200000000.0
Tỷ lệ lợi ích của cổ đông không kiểm soát,Trong đó: > Tỷ lệ lợi ích của cổ đông không kiểm soát,Tỷ lệ lợi ích của cổ đông không kiểm soát,"0,15%","0,28%","30,37%","35,08%","61,33%","77,37%","32,26%","31,07%","2,56%",0.0015,0.0028000000000000004,0.3037,0.3508,0.6133,0.7737,0.3226,0.3107,0.0256
