row_label_raw,row_label_full,Năm 2015,Năm 2015_1,Năm 2015_2,Năm 2015_3,Năm 2015_4,Năm 2015_5,numeric__Năm 2015_1,numeric__Năm 2015_2,numeric__Năm 2015_3,numeric__Năm 2015_4,numeric__Năm 2015_5
,,,Dịch vụ vận tảiVND,Dịch vụ kho nổiVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,,,,,
Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,2.773.845.345.031,493.992.949.125,2.184.148.790.665,309.463.620.609,5.761.450.705.430,2773845345031.0,493992949125.0,2184148790665.0,309463620609.0,5761450705430.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,-,-,-,-,-,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phận khác > Tổng doanh thu,Tổng doanh thu,2.773.845.345.031,493.992.949.125,2.184.148.790.665,309.463.620.609,5.761.450.705.430,2773845345031.0,493992949125.0,2184148790665.0,309463620609.0,5761450705430.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,550.852.402.173,176.672.772.549,8.502.925.754,41.203.579.303,777.231.679.779,550852402173.0,176672772549.0,8502925754.0,41203579303.0,777231679779.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(219.610.342.965),,,,,-219610342965.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,557.621.336.814,,,,,557621336814.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,163.519.833.453,,,,,163519833453.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,52.218.241.784,,,,,52218241784.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(227.120.039.861),,,,,-227120039861.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,546.239.372.190,,,,,546239372190.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(114.672.179.021),,,,,-114672179021.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,1.123.581.606,,,,,1123581606.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,432.690.774.775,,,,,432690774775.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,447.313.425.698,,,,,447313425698.0
Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,Năm 2014,,,,,
,,,Dịch vụ vận tảiVND,Dịch vụ kho nổiVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,,,,,
Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,Năm 2014 > Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,Doanh thuDoanh thu thuần từ bán hàng ra bên ngoài,2.490.565.760.405,147.177.935.512,2.112.118.749.265,517.740.863.850,5.267.603.309.032,2490565760405.0,147177935512.0,2112118749265.0,517740863850.0,5267603309032.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,-,-,-,-,-,,,,,
Tổng doanh thu,Doanh thu thuần từ bán hàng cho các bộ phận khác > Tổng doanh thu,Tổng doanh thu,2.490.565.760.405,147.177.935.512,2.112.118.749.265,517.740.863.850,5.267.603.309.032,2490565760405.0,147177935512.0,2112118749265.0,517740863850.0,5267603309032.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,432.306.355.224,56.984.616.124,2.171.517.340,57.186.154.960,548.648.643.648,432306355224.0,56984616124.0,2171517340.0,57186154960.0,548648643648.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(195.406.464.310),,,,,-195406464310.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,353.242.179.338,,,,,353242179338.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,187.591.343.297,,,,,187591343297.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,90.677.612.017,,,,,90677612017.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(145.820.491.774),,,,,-145820491774.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,485.690.642.878,,,,,485690642878.0
Thu nhập thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Thu nhập thuế thu nhập doanh nghiệp,Thu nhập thuế thu nhập doanh nghiệp,,,,,(80.574.013.045),,,,,-80574013045.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,(3.030.473.529),,,,,-3030473529.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,402.086.156.304,,,,,402086156304.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
