row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Công tyVùng TàuVND > Tại ngày 31 tháng 12 năm 2014,Công tyHà NộiVND > Tại ngày 31 tháng 12 năm 2014,Công tyPhương NamVND > Tại ngày 31 tháng 12 năm 2014,Công tyThái Bình DươngVND > Tại ngày 31 tháng 12 năm 2014,Công tyĐông DươngVND > Tại ngày 31 tháng 12 năm 2014,Công tyCửu LongVND > Tại ngày 31 tháng 12 năm 2014,Công tySản phẩm khíVND > Tại ngày 31 tháng 12 năm 2014,Công tyPhương Đông ViệtVND > Tại ngày 31 tháng 12 năm 2014,Công tyQuảng NgãiVND > Tại ngày 31 tháng 12 năm 2014,TổngVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyVùng TàuVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyHà NộiVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyPhương NamVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyThái Bình DươngVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyĐông DươngVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyCửu LongVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tySản phẩm khíVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyPhương Đông ViệtVND > Tại ngày 31 tháng 12 năm 2014,numeric__Công tyQuảng NgãiVND > Tại ngày 31 tháng 12 năm 2014,numeric__TổngVND > Tại ngày 31 tháng 12 năm 2014
Vốn của cổ đông không kiểm soát,Vốn của cổ đông không kiểm soát,Vốn của cổ đông không kiểm soát,232.000.000,300.000.000,176.933.080.000,330.750.280.000,61.330.000.000,177.962.280.000,145.791.000.000,64.025.130.000,50.000.000,957.373.770.000,232000000.0,300000000.0,176933080000.0,330750280000.0,61330000000.0,177962280000.0,145791000000.0,64025130000.0,50000000.0,957373770000.0
Thắng dư vốn cổ phần,Thắng dư vốn cổ phần,Thắng dư vốn cổ phần,-,-,-,-,-,-,-,474.515.625,-,474.515.625,,,,,,,,474515625.0,,474515625.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,-,-,-,-,-,-,3.747.280.406,-,-,3.747.280.406,,,,,,,3747280406.0,,,3747280406.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,385.735,-,-,1.895.160.528,-,649.313.786,4.394.954.877,-,-,6.939.814.926,385735.0,,,1895160528.0,,649313786.0,4394954877.0,,,6939814926.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,-,-,-,657.740.218,-,738.886.629,551.551.099,-,-,1.948.177.946,,,,657740218.0,,738886629.0,551551099.0,,,1948177946.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,18.355.296,32.193.904,(141.184.716.318),(440.195.264),(3.888.486.436),26.435.887.839,26.957.733.677,(36.804.469.927),40.892.401,(128.832.804.828),18355296.0,32193904.0,-141184716318.0,-440195264.0,-3888486436.0,26435887839.0,26957733677.0,-36804469927.0,40892401.0,-128832804828.0
,,,250.741.031,332.193.904,35.748.363.682,332.862.985.482,57.441.513.564,205.786.368.254,181.442.520.059,27.695.175.698,90.892.401,841.650.754.075,250741031.0,332193904.0,35748363682.0,332862985482.0,57441513564.0,205786368254.0,181442520059.0,27695175698.0,90892401.0,841650754075.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,,,,,,
Vốn của cổ đông không kiểm soát,Tại ngày 31 tháng 12 năm 2015 > Vốn của cổ đông không kiểm soát,Vốn của cổ đông không kiểm soát,232.000.000,300.000.000,176.933.080.000,330.750.280.000,61.330.000.000,177.962.280.000,145.791.000.000,64.025.130.000,200.000.000,957.523.770.000,232000000.0,300000000.0,176933080000.0,330750280000.0,61330000000.0,177962280000.0,145791000000.0,64025130000.0,200000000.0,957523770000.0
Thắng dư vốn cổ phần,Tại ngày 31 tháng 12 năm 2015 > Thắng dư vốn cổ phần,Thắng dư vốn cổ phần,-,-,-,-,-,-,-,500.000.000,-,500.000.000,,,,,,,,500000000.0,,500000000.0
