row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,545.454.545,12.549.791.192,6.244.709.709.634,6.172.246.603,6.263.977.201.974,545454545.0,12549791192.0,6244709709634.0,6172246603.0,6263977201974.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,64.838.206.694,4.063.207.925,68.901.414.619,,,64838206694.0,4063207925.0,68901414619.0
Xấy dụng cơ bán hoàn thành,NGUYÊN GIÁ > Xấy dụng cơ bán hoàn thành,Xấy dụng cơ bán hoàn thành,-,-,1.887.069.161.076,-,1.887.069.161.076,,,1887069161076.0,,1887069161076.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.437.018.986),(162.165.042.108),(320.796.200),(164.922.857.294),,-2437018986.0,-162165042108.0,-320796200.0,-164922857294.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(195.822.638),(178.135.350),373.957.988,-,,-195822638.0,-178135350.0,373957988.0,
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,545.454.545,9.916.949.568,8.034.273.899.946,10.288.616.316,8.055.024.920.375,545454545.0,9916949568.0,8034273899946.0,10288616316.0,8055024920375.0
GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LUỸ KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,(218.181.814),(8.031.815.334),(2.206.647.612.987),(4.145.281.508),(2.219.042.891.643),-218181814.0,-8031815334.0,-2206647612987.0,-4145281508.0,-2219042891643.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,(54.545.448),(1.774.912.639),(443.622.240.980),(1.589.070.609),(447.040.769.676),-54545448.0,-1774912639.0,-443622240980.0,-1589070609.0,-447040769676.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LUỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,1.834.710.630,129.439.445.018,305.929.066,131.580.084.714,,1834710630.0,129439445018.0,305929066.0,131580084714.0
Phân loại lại,GIÁ TRỊ HAO MÒN LUỸ KẾ > Phân loại lại,Phân loại lại,-,283.482.856,(343.287.036),59.804.180,-,,283482856.0,-343287036.0,59804180.0,
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LUỸ KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,(272.727.262),(7.688.534.487),(2.521.173.695.985),(5.368.618.871),(2.534.503.576.605),-272727262.0,-7688534487.0,-2521173695985.0,-5368618871.0,-2534503576605.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LAI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,272.727.283,2.228.415.081,5.513.100.203.961,4.919.997.445,5.520.521.343.770,272727283.0,2228415081.0,5513100203961.0,4919997445.0,5520521343770.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LAI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,327.272.731,4.517.975.858,4.038.062.096.647,2.026.965.095,4.044.934.310.331,327272731.0,4517975858.0,4038062096647.0,2026965095.0,4044934310331.0
