row_label_raw,row_label_full,31/12/2015,Dưới 1 nămVND > 31/12/2015,Từ 1 đến 5 nămVND > 31/12/2015,Trên 5 nămVND > 31/12/2015,TổngVND > 31/12/2015,numeric__Dưới 1 nămVND > 31/12/2015,numeric__Từ 1 đến 5 nămVND > 31/12/2015,numeric__Trên 5 nămVND > 31/12/2015,numeric__TổngVND > 31/12/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.236.855.073.354,-,-,2.236.855.073.354,2236855073354.0,,,2236855073354.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,402.259.077.900,-,225.937.767.300,628.196.845.200,402259077900.0,,225937767300.0,628196845200.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,817.127.711.878,13.339.916.828,-,830.467.628.706,817127711878.0,13339916828.0,,830467628706.0
Tổng cộng,Tổng cộng,Tổng cộng,3.456.241.863.132,13.339.916.828,225.937.767.300,3.695.519.547.260,3456241863132.0,13339916828.0,225937767300.0,3695519547260.0
Các khoản vay,Các khoản vay,Các khoản vay,902.429.496.663,2.147.619.839.831,568.133.380.571,3.618.182.717.065,902429496663.0,2147619839831.0,568133380571.0,3618182717065.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,884.322.139.198,163.113.939.039,230.891.136.000,1.278.327.214.237,884322139198.0,163113939039.0,230891136000.0,1278327214237.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,51.606.151.499,4.668.429.461,-,56.274.580.960,51606151499.0,4668429461.0,,56274580960.0
Tổng cộng,Tổng cộng,Tổng cộng,1.838.357.787.360,2.315.402.208.331,799.024.516.571,4.952.784.512.262,1838357787360.0,2315402208331.0,799024516571.0,4952784512262.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.617.884.075.772,(2.302.062.291.503),(573.086.749.271),(1.257.264.965.002),1617884075772.0,-2302062291503.0,-573086749271.0,-1257264965002.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,,,,
Tiền và các khoản tương đương tiền,31/12/2014 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.719.355.604.001,-,-,1.719.355.604.001,1719355604001.0,,,1719355604001.0
Đầu tư tài chính,31/12/2014 > Đầu tư tài chính,Đầu tư tài chính,677.678.600.693,-,243.052.276.252,920.730.876.945,677678600693.0,,243052276252.0,920730876945.0
Phải thu khách hàng và phải thu khác,31/12/2014 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,670.512.626.449,-,-,670.512.626.449,670512626449.0,,,670512626449.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,3.067.546.831.143,-,243.052.276.252,3.310.599.107.395,3067546831143.0,,243052276252.0,3310599107395.0
Các khoản vay,31/12/2014 > Các khoản vay,Các khoản vay,629.386.069.744,2.207.732.627.138,1.030.554.986.441,3.867.673.683.323,629386069744.0,2207732627138.0,1030554986441.0,3867673683323.0
Phải trả người bán và phải trả khác,31/12/2014 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,535.301.620.334,39.096.673.070,577.227.840.000,1.151.626.133.404,535301620334.0,39096673070.0,577227840000.0,1151626133404.0
Chi phí phải trả,31/12/2014 > Chi phí phải trả,Chi phí phải trả,62.360.827.104,4.445.925.245,-,66.806.752.349,62360827104.0,4445925245.0,,66806752349.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,1.227.048.517.182,2.251.275.225.453,1.607.782.826.441,5.086.106.569.076,1227048517182.0,2251275225453.0,1607782826441.0,5086106569076.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.840.498.313.961,(2.251.275.225.453),(1.364.730.550.189),(1.775.507.461.681),1840498313961.0,-2251275225453.0,-1364730550189.0,-1775507461681.0
