row_label_raw,row_label_full,Tên chỉ tiêu,Mã số,31/12/2014,Tên chỉ tiêu_1,Mã số_1,31/12/2014_1,col_6,numeric__Mã số,numeric__31/12/2014,numeric__Tên chỉ tiêu_1,numeric__Mã số_1,numeric__31/12/2014_1,numeric__col_6
I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,I. TÀI SẢN,,,,,,
1. Phải thu khách hàng,I. TÀI SẢN > 1. Phải thu khách hàng,1. Phải thu khách hàng,131,580.335.224.609,1. Phải thu ngắn hạn của khách hàng,131,594.825.932.353,Phân loại lại,131.0,580335224609.0,,131.0,594825932353.0,
2. Không có chi tiêu tương ứng,I. TÀI SẢN > 2. Không có chi tiêu tương ứng,2. Không có chi tiêu tương ứng,,,2. Chứng khoán kinh doanh,121,6.403.710.080,Phân loại lại,,,,121.0,6403710080.0,
3. Đầu tư ngắn hạn,I. TÀI SẢN > 3. Đầu tư ngắn hạn,3. Đầu tư ngắn hạn,121,681.142.457.373,3. Đầu tư năm giữ đến ngày đáo hạn,123,674.738.747.293,Phân loại lại,121.0,681142457373.0,,123.0,674738747293.0,
4. Các khoản phải thu khác,I. TÀI SẢN > 4. Các khoản phải thu khác,4. Các khoản phải thu khác,136,174.029.179.292,4. Phải thu ngắn hạn khác,136,204.588.049.425,Phân loại lại,136.0,174029179292.0,,136.0,204588049425.0,
5. Không có chi tiêu tương ứng,I. TÀI SẢN > 5. Không có chi tiêu tương ứng,5. Không có chi tiêu tương ứng,,,5. Tài sản thiếu chờ xử lý,139,671.818.182,Phân loại lại,,,,139.0,671818182.0,
6. Chi phí trả trước ngắn hạn,I. TÀI SẢN > 6. Chi phí trả trước ngắn hạn,6. Chi phí trả trước ngắn hạn,151,11.646.744.194,6. Chi phí trả trước ngắn hạn,151,11.263.212.393,Phân loại lại,151.0,11646744194.0,,151.0,11263212393.0,
7. Tài sản ngắn hạn khác,I. TÀI SẢN > 7. Tài sản ngắn hạn khác,7. Tài sản ngắn hạn khác,158,45.657.083.896,7. Tài sản ngắn hạn khác,155,-,Phân loại lại,158.0,45657083896.0,,155.0,,
8. Phải thu dài hạn khác,I. TÀI SẢN > 8. Phải thu dài hạn khác,8. Phải thu dài hạn khác,218,-,8. Phải thu dài hạn khác,216,8.436.142.448,Phân loại lại,218.0,,,216.0,8436142448.0,
9. Không có chi tiêu tương ứng,I. TÀI SẢN > 9. Không có chi tiêu tương ứng,9. Không có chi tiêu tương ứng,,,9. Đầu tư góp vốn vào dom vị khác,253,63.052.276.252,Phân loại lại,,,,253.0,63052276252.0,
10. Đầu tư dài hạn khác,I. TÀI SẢN > 10. Đầu tư dài hạn khác,10. Đầu tư dài hạn khác,258,243.052.276.252,10. Đầu tư năm giữ đến ngày đáo hạn,255,180.000.000.000,Phân loại lại,258.0,243052276252.0,,255.0,180000000000.0,
11. Chi phí trả trước dài hạn,I. TÀI SẢN > 11. Chi phí trả trước dài hạn,11. Chi phí trả trước dài hạn,271,99.990.820.970,11. Chi phí trả trước dài hạn,261,100.374.352.771,Phân loại lại,271.0,99990820970.0,,261.0,100374352771.0,
12. Tài sản dài hạn khác,I. TÀI SẢN > 12. Tài sản dài hạn khác,12. Tài sản dài hạn khác,273,8.445.142.448,12. Tài sản dài hạn khác,268,-,Phân loại lại,273.0,8445142448.0,,268.0,,
II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,II. NGUỒN VỐN,,,,,,
1. Chi phí phải trả,II. NGUỒN VỐN > 1. Chi phí phải trả,1. Chi phí phải trả,316,165.953.324.952,1. Chi phí phải trả ngắn hạn,315,62.360.827.104,Phân loại lại,316.0,165953324952.0,,315.0,62360827104.0,
