row_label_raw,row_label_full,col_0,"Quyềnsử dụng đấtvà nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Tổng cộngTriệu VND,"numeric__Quyềnsử dụng đấtvà nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,26.769.970,5.932.822,32.702.792,26769970.0,5932822.0,32702792.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,521.982,254.057,776.039,521982.0,254057.0,776039.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,37.256,12.481,49.737,37256.0,12481.0,49737.0
Tăng/(giảm) do quyết toán,Nguyên giá > Tăng/(giảm) do quyết toán,Tăng/(giảm) do quyết toán,249.027,(26.828),222.199,249027.0,-26828.0,222199.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(4.373),(1.267),(5.640),-4373.0,-1267.0,-5640.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(28.661),-,(28.661),-28661.0,,-28661.0
Chuyển sang chi phí trả trước,Nguyên giá > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(2.514),(3.732),(6.246),-2514.0,-3732.0,-6246.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,27.542.687,6.167.533,33.710.220,27542687.0,6167533.0,33710220.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.756.463,1.882.652,4.639.115,2756463.0,1882652.0,4639115.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,777.634,581.883,1.359.517,777634.0,581883.0,1359517.0
Chuyển sang hàng tồn kho,Giá trị hao mòn lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(677),(369),(1.046),-677.0,-369.0,-1046.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(15.575),-,(15.575),-15575.0,,-15575.0
Chuyển sang chi phí trả trước,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước,Chuyển sang chi phí trả trước,(232),(3.732),(3.964),-232.0,-3732.0,-3964.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.517.613,2.460.434,5.978.047,3517613.0,2460434.0,5978047.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,24.013.507,4.050.170,28.063.677,24013507.0,4050170.0,28063677.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,24.025.074,3.707.099,27.732.173,24025074.0,3707099.0,27732173.0
