row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2020 Triệu VND,1/1/2020 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020 Triệu VND,numeric__1/1/2020 Triệu VND
Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),Tài sản dài hạn(200 = 210 + 220 + 230 + 240 + 260),200,,32.804.035,30.768.281,200.0,,32804035.0,30768281.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,8.308,8.659,210.0,,8308.0,8659.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9(b),8.308,8.659,216.0,,8308.0,8659.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,450.233,473.832,220.0,,450233.0,473832.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,430.206,450.446,221.0,13.0,430206.0,450446.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,595.633,580.540,222.0,,595633.0,580540.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(165.427),(130.094),223.0,,-165427.0,-130094.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,14,20.027,23.386,227.0,14.0,20027.0,23386.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,54.391,49.787,228.0,,54391.0,49787.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(34.364),(26.401),229.0,,-34364.0,-26401.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,15,27.732.173,28.063.677,230.0,15.0,27732173.0,28063677.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,33.710.220,32.702.792,231.0,,33710220.0,32702792.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(5.978.047),(4.639.115),232.0,,-5978047.0,-4639115.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,959.231,654.380,240.0,,959231.0,654380.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,16,959.231,654.380,242.0,16.0,959231.0,654380.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,3.654.090,1.567.733,260.0,,3654090.0,1567733.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,17(b),514.162,554.712,261.0,,514162.0,554712.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,18,16.032,9.243,262.0,18.0,16032.0,9243.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,12,2.789.702,597.000,268.0,12.0,2789702.0,597000.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,19,334.194,406.778,269.0,19.0,334194.0,406778.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,39.816.432,35.838.690,270.0,,39816432.0,35838690.0
