row_label_raw,row_label_full,col_0,1/1/2020Triệu VND,Số phải nộp trong nămTriệu VND,Số đã nộp trong nămTriệu VND,Bù trừTriệu VND,31/12/2020Triệu VND,numeric__1/1/2020Triệu VND,numeric__Số phải nộp trong nămTriệu VND,numeric__Số đã nộp trong nămTriệu VND,numeric__Bù trừTriệu VND,numeric__31/12/2020Triệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,255.478,619.241,(592.703),(851),281.165,255478.0,619241.0,-592703.0,-851.0,281165.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,33.568,843.255,(386.789),(456.771),33.263,33568.0,843255.0,-386789.0,-456771.0,33263.0
Tiền sử dụng đất và tiền thuê đất,Tiền sử dụng đất và tiền thuê đất,Tiền sử dụng đất và tiền thuê đất,-,62.613,(60.700),-,1.913,,62613.0,-60700.0,,1913.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,5.921,60.692,(61.529),-,5.084,5921.0,60692.0,-61529.0,,5084.0
Thuế khác,Thuế khác,Thuế khác,-,1.829,(1.721),-,108,,1829.0,-1721.0,,108.0
,,,294.967,1.587.630,(1.103.442),(457.622),321.533,294967.0,1587630.0,-1103442.0,-457622.0,321533.0
