row_label_raw,row_label_full,col_0,Thuế suất,31/12/2020 Triệu VND,1/1/2020 Triệu VND,numeric__Thuế suất,numeric__31/12/2020 Triệu VND,numeric__1/1/2020 Triệu VND
Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,Tài sản thuế thu nhập hoãn lại:,,,
Doanh thu chưa thực hiện,Tài sản thuế thu nhập hoãn lại: > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,20%,6.951,-,0.2,6951.0,
Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,Tài sản thuế thu nhập hoãn lại: > Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập và các chênh lệch khác,20%,9.081,9.081,0.2,9081.0,9081.0
Chênh lệch dự phòng của hàng tồn kho giữa các báo cáo tài chính riêng và báo cáo tài chính hợp nhất,Tài sản thuế thu nhập hoãn lại: > Chênh lệch dự phòng của hàng tồn kho giữa các báo cáo tài chính riêng và báo cáo tài chính hợp nhất,Chênh lệch dự phòng của hàng tồn kho giữa các báo cáo tài chính riêng và báo cáo tài chính hợp nhất,20%,-,162,0.2,,162.0
Tổng tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại: > Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,16.032,9.243,,16032.0,9243.0
Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,Thuế thu nhập hoãn lại phải trả:,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua lại một công ty,Thuế thu nhập hoãn lại phải trả: > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua lại một công ty,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua lại một công ty,20%,38.130,39.010,0.2,38130.0,39010.0
Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần – doanh thu chưa thực hiện,Thuế thu nhập hoãn lại phải trả: > Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần – doanh thu chưa thực hiện,Chênh lệch do ghi nhận doanh thu cho thuê dài hạn một lần – doanh thu chưa thực hiện,20%,24.281,25.290,0.2,24281.0,25290.0
Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập,Thuế thu nhập hoãn lại phải trả: > Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập,Chênh lệch từ việc đánh giá lại tài sản thuần của công ty con khi sáp nhập,20%,10.404,10.462,0.2,10404.0,10462.0
Chỉ phí khấu hao,Thuế thu nhập hoãn lại phải trả: > Chỉ phí khấu hao,Chỉ phí khấu hao,20%,5.361,5.455,0.2,5361.0,5455.0
Tổng thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả: > Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,78.176,80.217,,78176.0,80217.0
