row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sảnkhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sảnkhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,280.898,254.284,1.582,18.233,25.543,580.540,280898.0,254284.0,1582.0,18233.0,25543.0,580540.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,6.834,-,1.336,-,8.170,,6834.0,,1336.0,,8170.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,3.986,-,4.236,-,8.222,,3986.0,,4236.0,,8222.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,1.582,(1.582),-,-,-,,1582.0,-1582.0,,,
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,(122),-,-,-,(122),,-122.0,,,,-122.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.138),-,(39),-,(1.177),,-1138.0,,-39.0,,-1177.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,280.898,265.426,-,23.766,25.543,595.633,280898.0,265426.0,,23766.0,25543.0,595633.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,17.330,94.658,1.218,9.948,6.940,130.094,17330.0,94658.0,1218.0,9948.0,6940.0,130094.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.131,25.822,-,2.317,3.240,36.510,5131.0,25822.0,,2317.0,3240.0,36510.0
Chuyển sang chi phí trả trước ngắn hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,(69),-,-,-,(69),,-69.0,,,,-69.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,1.218,(1.218),-,-,-,,1218.0,-1218.0,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(1.069),-,(39),-,(1.108),,-1069.0,,-39.0,,-1108.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,22.461,120.560,-,12.226,10.180,165.427,22461.0,120560.0,,12226.0,10180.0,165427.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,263.568,159.626,364,8.285,18.603,450.446,263568.0,159626.0,364.0,8285.0,18603.0,450446.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,258.437,144.866,-,11.540,15.363,430.206,258437.0,144866.0,,11540.0,15363.0,430206.0
