row_label_raw,row_label_full,col_0,Tổng khoản thanh toán tiền thuê tài chính Triệu VND,Tiền lãi thuê Triệu VND,Nợ gốc Triệu VND,numeric__Tổng khoản thanh toán tiền thuê tài chính Triệu VND,numeric__Tiền lãi thuê Triệu VND,numeric__Nợ gốc Triệu VND
Trong vòng 1 năm,Trong vòng 1 năm,Trong vòng 1 năm,21.397,1.510,19.887,21397.0,1510.0,19887.0
Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,87.192,26.366,60.826,87192.0,26366.0,60826.0
Sau 5 năm,Sau 5 năm,Sau 5 năm,506.114,395.546,110.568,506114.0,395546.0,110568.0
,,,614.703,423.422,191.281,614703.0,423422.0,191281.0
1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,1/1/2020,,,
,,,Tổng khoản thanh toán tiền thuê tài chính Triệu VND,Tiền lãi thuê Triệu VND,Nợ gốc Triệu VND,,,
Trong vòng 1 năm,1/1/2020 > Trong vòng 1 năm,Trong vòng 1 năm,20.911,1.496,19.415,20911.0,1496.0,19415.0
Trong vòng 2 đến 5 năm,1/1/2020 > Trong vòng 2 đến 5 năm,Trong vòng 2 đến 5 năm,85.587,25.684,59.903,85587.0,25684.0,59903.0
Sau 5 năm,1/1/2020 > Sau 5 năm,Sau 5 năm,528.797,418.022,110.775,528797.0,418022.0,110775.0
,,,635.295,445.202,190.093,635295.0,445202.0,190093.0
