row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2020,Kinh doanh chuyển nhượng bất động sản Triệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,Khác Triệu VND,Tổng Triệu VND,Loại trừ Triệu VND,Hợp nhất Triệu VND,numeric__Kinh doanh chuyển nhượng bất động sản Triệu VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,numeric__Khác Triệu VND,numeric__Tổng Triệu VND,numeric__Loại trừ Triệu VND,numeric__Hợp nhất Triệu VND
Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,2.149.022,6.008.061,171.835,8.328.918,-,8.328.918,2149022.0,6008061.0,171835.0,8328918.0,,8328918.0
Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,Doanh thu bán hàng ra bên ngoài Doanh thu giữa các bộ phận,-,80.932,242.968,323.900,(323.900),-,,80932.0,242968.0,323900.0,-323900.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,2.149.022,6.088.993,414.803,8.652.818,(323.900),8.328.918,2149022.0,6088993.0,414803.0,8652818.0,-323900.0,8328918.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,780.971,2.485.152,(191.161),3.074.962,17.717,3.092.679,780971.0,2485152.0,-191161.0,3074962.0,17717.0,3092679.0
Doanh thu hoạt động tài chính Chi phí tài chính,Doanh thu hoạt động tài chính Chi phí tài chính,Doanh thu hoạt động tài chính Chi phí tài chính,,,,,,275.859,,,,,,275859.0
Doanh thu hoạt động tài chính Chi phí tài chính,Doanh thu hoạt động tài chính Chi phí tài chính,Doanh thu hoạt động tài chính Chi phí tài chính,,,,,,467.092,,,,,,467092.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,2.901.446,,,,,,2901446.0
Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,,,,,,123.527,,,,,,123527.0
Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,,,,,,32.253,,,,,,32253.0
Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,Thu nhập khác Chi phí khác Thuế thu nhập doanh nghiệp,,,,,,610.411,,,,,,610411.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,2.382.309,,,,,,2382309.0
