row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Kinh doanh chuyển nhượng bất động sản Triệu VND,Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,Khác Triệu VND,Tổng Triệu VND,Loại trừ Triệu VND,Hợp nhất Triệu VND,numeric__Kinh doanh chuyển nhượng bất động sản Triệu VND,numeric__Hoạt động cho thuê và cung cấp các dịch vụ liên quan Triệu VND,numeric__Khác Triệu VND,numeric__Tổng Triệu VND,numeric__Loại trừ Triệu VND,numeric__Hợp nhất Triệu VND
Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,Doanh thu bán hàng ra bên ngoài,2.027.165,7.017.202,214.890,9.259.257,-,9.259.257,2027165.0,7017202.0,214890.0,9259257.0,,9259257.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,-,66.219,356.096,422.315,(422.315),-,,66219.0,356096.0,422315.0,-422315.0,
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,2.027.165,7.083.421,570.986,9.681.572,(422.315),9.259.257,2027165.0,7083421.0,570986.0,9681572.0,-422315.0,9259257.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,567.507,3.108.518,(95.080),3.580.945,2.057,3.583.002,567507.0,3108518.0,-95080.0,3580945.0,2057.0,3583002.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,265.083,,,,,,265083.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,302.500,,,,,,302500.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,3.545.585,,,,,,3545585.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,70.729,,,,,,70729.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,40.372,,,,,,40372.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,,724.009,,,,,,724009.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,2.851.933,,,,,,2851933.0
