row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2020Triệu VND,1/1/2020Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__1/1/2020Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,29.335.816,26.953.507,400.0,,29335816.0,26953507.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,28,29.335.816,26.953.507,410.0,28.0,29335816.0,26953507.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,29,23.288.184,23.288.184,411.0,29.0,23288184.0,23288184.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,23.288.184,23.288.184,,,23288184.0,23288184.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,46.983,46.983,412.0,,46983.0,46983.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.954.258),(1.954.258),415.0,,-1954258.0,-1954258.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(53.420),(53.420),420.0,,-53420.0,-53420.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,7.974.003,5.592.148,421.0,,7974003.0,5592148.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,5.592.148,2.740.668,,,5592148.0,2740668.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,2.381.855,2.851.480,,,2381855.0,2851480.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,34.324,33.870,429.0,,34324.0,33870.0
TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),TỔNG NGUỒN VỐN(440 = 300 + 400),440,,39.816.432,35.838.690,440.0,,39816432.0,35838690.0
