row_label_raw,row_label_full,col_0,Kinh doanh bất động sản,Kinh doanh dịch vụ khách sạn,Hoạt động xây lắp,Hoạt động cho thuê và các hoạt động khác,Điều chỉnh và loại trừ,Đơn vị tính: VND,numeric__Kinh doanh bất động sản,numeric__Kinh doanh dịch vụ khách sạn,numeric__Hoạt động xây lắp,numeric__Hoạt động cho thuê và các hoạt động khác,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,100.493.825.496,133.236.480.917,2.546.269.089,116.272.497.784,-,352.549.073.286,100493825496.0,133236480917.0,2546269089.0,116272497784.0,,352549073286.0
Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,100.493.825.496,133.236.480.917,2.546.269.089,116.272.497.784,-,352.549.073.286,100493825496.0,133236480917.0,2546269089.0,116272497784.0,,352549073286.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,100.493.825.496,133.236.480.917,2.546.269.089,116.272.497.784,-,352.549.073.286,100493825496.0,133236480917.0,2546269089.0,116272497784.0,,352549073286.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận/(lỗ) gộp trước thuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) gộp trước thuế của bộ phận,Lợi nhuận/(lỗ) gộp trước thuế của bộ phận,43.973.539.993,73.229.970.576,13.814.047,61.901.992.669,-,179.119.317.285,43973539993.0,73229970576.0,13814047.0,61901992669.0,,179119317285.0
Thu nhập/(chi phí) không phân bổ (i),Kết quả > Thu nhập/(chi phí) không phân bổ (i),Thu nhập/(chi phí) không phân bổ (i),,,,,616.983.566.438,616.983.566.438,,,,,616983566438.0,616983566438.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,15.087.338.990,34.932.137.354,(718.092.021),28.480.329.940,616.983.566.438,694.765.280.701,15087338990.0,34932137354.0,-718092021.0,28480329940.0,616983566438.0,694765280701.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,(7.801.120.100),(7.801.120.100),,,,,-7801120100.0,-7801120100.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,15.087.338.990,34.932.137.354,(718.092.021),28.480.329.940,609.182.446.338,686.964.160.601,15087338990.0,34932137354.0,-718092021.0,28480329940.0,609182446338.0,686964160601.0
Tài sản và công nợ tại ngày 31 tháng 12 năm 2019,Tài sản và công nợ tại ngày 31 tháng 12 năm 2019,Tài sản và công nợ tại ngày 31 tháng 12 năm 2019,,,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ tại ngày 31 tháng 12 năm 2019 > Tài sản bộ phận,Tài sản bộ phận,661.975.779.267,282.802.585.777,134.235.875.799,382.901.486.236,-,1.461.915.727.079,661975779267.0,282802585777.0,134235875799.0,382901486236.0,,1461915727079.0
Tài sản không phân bổ (ii),Tài sản và công nợ tại ngày 31 tháng 12 năm 2019 > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,4.300.139.941.187,4.300.139.941.187,,,,,4300139941187.0,4300139941187.0
Tổng tài sản,Tài sản và công nợ tại ngày 31 tháng 12 năm 2019 > Tổng tài sản,Tổng tài sản,661.975.779.267,282.802.585.777,134.235.875.799,382.901.486.236,4.300.139.941.187,5.762.055.668.266,661975779267.0,282802585777.0,134235875799.0,382901486236.0,4300139941187.0,5762055668266.0
Công nợ bộ phận,Tài sản và công nợ tại ngày 31 tháng 12 năm 2019 > Công nợ bộ phận,Công nợ bộ phận,981.394.959.236,16.733.819.819,4.580.077.440,31.976.591.268,-,1.034.685.447.763,981394959236.0,16733819819.0,4580077440.0,31976591268.0,,1034685447763.0
Công nợ không phân bổ (iii),Tài sản và công nợ tại ngày 31 tháng 12 năm 2019 > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,2.910.345.690.577,2.910.345.690.577,,,,,2910345690577.0,2910345690577.0
Tổng công nợ,Tài sản và công nợ tại ngày 31 tháng 12 năm 2019 > Tổng công nợ,Tổng công nợ,981.394.959.236,16.733.819.819,4.580.077.440,31.976.591.268,2.910.345.690.577,3.945.031.138.340,981394959236.0,16733819819.0,4580077440.0,31976591268.0,2910345690577.0,3945031138340.0
