row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị hợp lý VND,Số cuối năm > Dự phòng VND,Số đầu năm (trình bày lại) > Số lượng,Số đầu năm (trình bày lại) > Giá gốc VND,Số đầu năm (trình bày lại) > Giá trị hợp lý VND,Số đầu năm (trình bày lại) > Dự phòng VND,numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm (trình bày lại) > Số lượng,numeric__Số đầu năm (trình bày lại) > Giá gốc VND,numeric__Số đầu năm (trình bày lại) > Giá trị hợp lý VND,numeric__Số đầu năm (trình bày lại) > Dự phòng VND
Cổ phiếu của Ngân hàng TMCP Quân đội,Cổ phiếu của Ngân hàng TMCP Quân đội,Cổ phiếu của Ngân hàng TMCP Quân đội,-,-,-,-,2,15.631,41.800,-,,,,,2.0,15631.0,41800.0,
Trái phiếu,Trái phiếu,Trái phiếu,-,-,-,-,1.087.785,112.024.461.090,(*),-,,,,,1087785.0,112024461090.0,,
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,-,-,-,-,92,98.986.958.860,(*),-,,,,,92.0,98986958860.0,,
,,,,-,,,,211.011.435.581,,,,,,,,211011435581.0,,
