row_label_raw,row_label_full,STT > 1,Tên đơn vị > Công ty Agrita - Quảng Nam (i),Số cuối năm > Số lượng cổ phiếu > 94.980.000,Số cuối năm > Giá trị ghi số > 1.142.815.295.099,Số cuối năm > Giá trị hợp lý > (*),Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp > 95%,Số đầu năm (Trình bày lại) > Số lượng cổ phiếu > 85.482.000,Số đầu năm (Trình bày lại) > Giá trị ghi số > 1.047.835.295.099,Số đầu năm (Trình bày lại) > Giá trị hợp lý > (*),Số đầu năm (Trình bày lại) > Tỷ lệ vốn nằm giữ trực tiếp > 95%,numeric__Tên đơn vị > Công ty Agrita - Quảng Nam (i),numeric__Số cuối năm > Số lượng cổ phiếu > 94.980.000,numeric__Số cuối năm > Giá trị ghi số > 1.142.815.295.099,numeric__Số cuối năm > Giá trị hợp lý > (*),numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp > 95%,numeric__Số đầu năm (Trình bày lại) > Số lượng cổ phiếu > 85.482.000,numeric__Số đầu năm (Trình bày lại) > Giá trị ghi số > 1.047.835.295.099,numeric__Số đầu năm (Trình bày lại) > Giá trị hợp lý > (*),numeric__Số đầu năm (Trình bày lại) > Tỷ lệ vốn nằm giữ trực tiếp > 95%
2,2,2,Công ty Bình An Riverside (ii),61.182.000,592.299.000.000,(*),99%,25.740.000,237.879.000.000,(*),99%,,61182000.0,592299000000.0,,0.99,25740000.0,237879000000.0,,0.99
3,3,3,Công ty Minh Long (iii),32.304.778,417.218.779.435,(*),73%,35.900.000,486.190.000.000,(*),"99,7%",,32304778.0,417218779435.0,,0.73,35900000.0,486190000000.0,,0.997
4,4,4,Công ty Zahưng,43.451.141,371.629.000.000,(*),52%,43.451.141,371.629.000.000,(*),52%,,43451141.0,371629000000.0,,0.52,43451141.0,371629000000.0,,0.52
5,5,5,Công ty Surya (iv),(**),370.731.265.000,(*),100%,-,-,-,-,,,370731265000.0,,1.0,,,,
6,6,6,Công ty Quốc tế Hà Đô (v),(**),352.027.049.362,(*),100%,(**),347.918.565.922,(*),100%,,,352027049362.0,,1.0,,347918565922.0,,1.0
7,7,7,Công ty 756 Sài Gòn,28.350.000,283.500.000.000,(*),89%,28.350.000,283.500.000.000,(*),89%,,28350000.0,283500000000.0,,0.89,28350000.0,283500000000.0,,0.89
8,8,8,Công ty Thiết Bị Giáo Dục 1 (vi),1.614.073,183.042.697.322,(*),"68,7%",2.319.073,262.992.675.800,(*),99%,,1614073.0,183042697322.0,,0.687,2319073.0,262992675800.0,,0.99
9,9,9,Công ty Hà Đô Bình Thuận,(**),241.680.000.000,(*),76%,(**),241.680.000.000,(*),76%,,,241680000000.0,,0.76,,241680000000.0,,0.76
10,10,10,Công ty Khánh Hà,18.439.089,196.842.885.000,(*),71%,18.439.089,196.842.885.000,(*),71%,,18439089.0,196842885000.0,,0.71,18439089.0,196842885000.0,,0.71
11,11,11,Công ty Sông Tranh 4 (vii),13.522.684,140.994.654.400,(*),34%,9.180.000,96.794.654.400,(*),34%,,13522684.0,140994654400.0,,0.34,9180000.0,96794654400.0,,0.34
12,12,12,Công ty Hà Đô Thuận Nam (viii),(**),253.020.000.000,(*),100%,(**),-,(*),-,,,253020000000.0,,1.0,,,,
13,13,13,Công ty Hà Đô 1,2.561.323,23.382.120.000,(*),51%,2.561.323,23.382.120.000,(*),51%,,2561323.0,23382120000.0,,0.51,2561323.0,23382120000.0,,0.51
14,14,14,Công ty Hà Đô Ninh Thuận,(**),7.040.000.000,(*),100%,(**),7.040.000.000,(*),100%,,,7040000000.0,,1.0,,7040000000.0,,1.0
15,15,15,Công ty Hà Đô Mee,1.025.000,3.570.000.000,(*),51%,1.025.000,3.570.000.000,(*),51%,,1025000.0,3570000000.0,,0.51,1025000.0,3570000000.0,,0.51
16,16,16,Công ty Quản lý Hà Đô,(**),1.057.111.908,(*),100%,(**),1.057.111.908,(*),100%,,,1057111908.0,,1.0,,1057111908.0,,1.0
17,17,17,Công ty Hà Đô 45 (ix),-,-,,0%,2.075.191,11.358.980.000,(*),51%,,,,,0.0,2075191.0,11358980000.0,,0.51
,,,TỔNG CỘNG,,4.580.849.857.526,,,,3.619.670.288.129,,,,,4580849857526.0,,,,3619670288129.0,,
,,,Dự phòng đầu tư vào công ty con,,9.258.048.847,,,,11.358.980.000,,,,,9258048847.0,,,,11358980000.0,,
