row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty SôngTranh 4,Công ty SôngTranh 4,Công ty SôngTranh 4,Công ty con,Góp vốn,44.200.000.000,-,,,44200000000.0,
Công ty SôngTranh 4,Công ty SôngTranh 4,Công ty SôngTranh 4,Công ty con,Lãi vay phải trả,-,265.411.616,,,,265411616.0
Công ty SôngTranh 4,Công ty SôngTranh 4,Công ty SôngTranh 4,Công ty con,Thanh toán gốc vay,-,44.761.111.112,,,,44761111112.0
Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty con,Góp vốn,4.108.483.440,166.284.559.200,,,4108483440.0,166284559200.0
Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty Quốc tế Hà Đô,Công ty con,Phí tư vấn quản lý,244.575.520,1.241.568.216,,,244575520.0,1241568216.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Góp vốn,354.420.000.000,-,,,354420000000.0,
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Doanh thu cung cấp dịch vụ,418.947.590,4.411.924.244,,,418947590.0,4411924244.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Thu từ cung cấp dịch vụ,473.949.164,521.400.000,,,473949164.0,521400000.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Thu hồi cho vay,-,5.000.000.000,,,,5000000000.0
Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty Bình An Riverside,Công ty con,Lãi vay,-,227.794.520,,,,227794520.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Cho vay,7.000.000.000,28.827.419.178,,,7000000000.0,28827419178.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Thu hồi cho vay,11.000.000.000,22.827.419.178,,,11000000000.0,22827419178.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Lãi vay phải thu,2.200.910.960,23.961.533.245,,,2200910960.0,23961533245.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Lãi vay đã thu,-,23.341.766.121,,,,23341766121.0
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Cổ tức phải thu,1.221.525.000.000,680.850.000.000,,,1221525000000.0,680850000000.0
