row_label_raw,row_label_full,col_0,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,Số phát sinh trong kỳ > Tăng,Số phát sinh trong kỳ > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,numeric__Số phát sinh trong kỳ > Tăng,numeric__Số phát sinh trong kỳ > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),90.480.554.524,90.480.554.524,313.553.428.726,344.857.189.953,59.176.793.297,59.176.793.297,90480554524.0,90480554524.0,313553428726.0,344857189953.0,59176793297.0,59176793297.0
Vay đối tượng khác(Thuyết minh số 21.2),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 21.2),Vay đối tượng khác(Thuyết minh số 21.2),14.640.000.000,14.640.000.000,282.522.718.807,43.810.000.000,253.352.718.807,253.352.718.807,14640000000.0,14640000000.0,282522718807.0,43810000000.0,253352718807.0,253352718807.0
Vay các bên liên quan(Thuyết minh số 30),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),127.500.000.000,127.500.000.000,400.681.837.677,515.826.837.677,12.355.000.000,12.355.000.000,127500000000.0,127500000000.0,400681837677.0,515826837677.0,12355000000.0,12355000000.0
Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.1),Vay ngân hàng dài hạn đến hạn trả(Thuyết minh số 21.1),18.593.549.729,18.593.549.729,54.793.296.504,49.072.204.279,24.314.641.954,24.314.641.954,18593549729.0,18593549729.0,54793296504.0,49072204279.0,24314641954.0,24314641954.0
Vay đối tượng khác dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay đối tượng khác dài hạn đến hạn trả(Thuyết minh số 21.2),Vay đối tượng khác dài hạn đến hạn trả(Thuyết minh số 21.2),-,-,55.473.598.070,-,55.473.598.070,55.473.598.070,,,55473598070.0,,55473598070.0,55473598070.0
Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 30),Vay ngắn hạn > Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 30),Vay các bên liên quan dài hạn đến hạn trả(Thuyết minh số 30),-,-,1.011.353.162.323,1.011.353.162.323,-,-,,,1011353162323.0,1011353162323.0,,
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 21.3),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 21.3),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 21.3),198.869.500.000,198.869.500.000,250.668.171.233,200.000.000.000,249.537.671.233,249.537.671.233,198869500000.0,198869500000.0,250668171233.0,200000000000.0,249537671233.0,249537671233.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,450.083.604.253,450.083.604.253,2.369.046.213.340,2.164.919.394.232,654.210.423.361,654.210.423.361,450083604253.0,450083604253.0,2369046213340.0,2164919394232.0,654210423361.0,654210423361.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.1),Vay ngân hàng(Thuyết minh số 21.1),245.291.829.120,245.291.829.120,106.573.054.776,54.793.296.504,297.071.587.392,297.071.587.392,245291829120.0,245291829120.0,106573054776.0,54793296504.0,297071587392.0,297071587392.0
Vay đối tượng khác(Thuyết minh số 21.2),Vay dài hạn > Vay đối tượng khác(Thuyết minh số 21.2),Vay đối tượng khác(Thuyết minh số 21.2),55.473.598.070,55.473.598.070,-,55.473.598.070,-,-,55473598070.0,55473598070.0,,55473598070.0,,
Vay các bên liên quan(Thuyết minh số 30),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),796.450.000.000,796.450.000.000,747.625.000.000,1.011.353.162.323,532.721.837.677,532.721.837.677,796450000000.0,796450000000.0,747625000000.0,1011353162323.0,532721837677.0,532721837677.0
Trái phiếu(Thuyết minh số 21.3),Vay dài hạn > Trái phiếu(Thuyết minh số 21.3),Trái phiếu(Thuyết minh số 21.3),740.689.675.408,740.689.675.408,304.521.858.640,252.089.856.787,793.121.677.261,793.121.677.261,740689675408.0,740689675408.0,304521858640.0,252089856787.0,793121677261.0,793121677261.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.837.905.102.598,1.837.905.102.598,1.158.719.913.416,1.373.709.913.684,1.622.915.102.330,1.622.915.102.330,1837905102598.0,1837905102598.0,1158719913416.0,1373709913684.0,1622915102330.0,1622915102330.0
