row_label_raw,row_label_full,Bên liên quan > Công ty 756 Sài GònCông ty CP Đầu tư IP Việt Nam,Mối quan hệ > Công ty conCông ty có chung thành viên HĐQT,Số dư vay(Trình bày lại)VND > 739.450.000.00057.000.000.000,"Lãi suất%/năm > 6,8%/năm8,6%/năm",Ngày đáo hạn > Ngày 31 tháng 12 năm 2021Ngày 7 tháng 8 năm 2021,Hình thức đảm bảo > Tín chấpTín chấp,numeric__Mối quan hệ > Công ty conCông ty có chung thành viên HĐQT,numeric__Số dư vay(Trình bày lại)VND > 739.450.000.00057.000.000.000,"numeric__Lãi suất%/năm > 6,8%/năm8,6%/năm",numeric__Ngày đáo hạn > Ngày 31 tháng 12 năm 2021Ngày 7 tháng 8 năm 2021,numeric__Hình thức đảm bảo > Tín chấpTín chấp
,,,,796.450.000.000,796.450.000.000,796.450.000.000,796.450.000.000,,796450000000.0,796450000000.0,796450000000.0,796450000000.0
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020: (Thuyết minh số 8),,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vayVND,Lãi suất%/năm,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Bên liên quan > Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Công ty con,23.500.000.000,"9,5%-11%/năm",Ngày 14 tháng 5 năm 2021,Tín chấp,,23500000000.0,,,
Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Bên liên quan > Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Công ty con,4.780.000.000,8%/năm,Ngày 26 tháng 6 năm 2021,Tín chấp,,4780000000.0,,,
Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Bên liên quan > Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,Công ty Thiết bị Giáo dục 1Công ty Khánh Hà,,28.280.000.000,28.280.000.000,28.280.000.000,28.280.000.000,,28280000000.0,28280000000.0,28280000000.0,28280000000.0
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019: (Thuyết minh số 8),,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Số dư cho vayVND,Lãi suất%/năm,Ngày đáo hạn,Hình thức đảm bảo,,,,,
Công ty Hà Đô 45Công ty Strategy bị Giáo dục 1,Bên liên quan > Công ty Hà Đô 45Công ty Strategy bị Giáo dục 1,Công ty Hà Đô 45Công ty Strategy bị Giáo dục 1,Công ty con (đến ngày 23 tháng 4 năm 2020)Công ty con,51.712.628.58327.500.000.000,"11%/năm9,5%-11%/năm",Từ ngày 22 tháng 5 đến 16 tháng 6 năm 2020Từ ngày 30 tháng 5 đến 14 tháng 11 năm 2020,Tín chấpTín chấp,,5.1712628583275e+21,,,
Công ty Hà Đô 45Công ty Strategy bị Giáo dục 1,Bên liên quan > Công ty Hà Đô 45Công ty Strategy bị Giáo dục 1,Công ty Hà Đô 45Công ty Strategy bị Giáo dục 1,,79.212.628.583,79.212.628.583,79.212.628.583,79.212.628.583,,79212628583.0,79212628583.0,79212628583.0,79212628583.0
