row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Phải thu lãi cho vay,2.842.491,508.805.992,,,2842491.0,508805992.0
Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty Thiết bị Giáo dục 1,Công ty con,Phải thu lãi cho vay,2.820.678.084,619.767.124,,,2820678084.0,619767124.0
Công ty Bình An Reverside,Công ty Bình An Reverside,Công ty Bình An Reverside,Công ty con,Phải thu lãi cho vay,2.853.000.000,-,,,2853000000.0,
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Phải thu lãi cho vay,-,529.768.391,,,,529768391.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Phải thu từ cổ tức,-,621.674.000,,,,621674000.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu lãi cho vay,665.424.657,-,,,665424657.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Phải thu khoản chỉ hộ,163.032.696,-,,,163032696.0,
Công ty Khánh Hà,Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,Phải thu lãi cho vay,137.709.590,-,,,137709590.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,6.642.687.518,2.280.015.507,,,6642687518.0,2280015507.0
Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),Phải trả người bán ngắn hạn (Thuyết minh số 17.1),,,,
Công ty Hà Đô 1,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Phải trả phí dịch vụ thi công,19.361.922.094,-,,,19361922094.0,
Công ty Quản lý Hà Đô,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phải trả phí quản lý,2.171.926.075,2.031.987.976,,,2171926075.0,2031987976.0
Công ty Cổ phần Đầu tư An Lạc,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có cùng chung thành viên HĐQT,Phải trả phí dịch vụ thi công,2.019.545.459,-,,,2019545459.0,
Công ty Hà Đô 45,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Phải trả phí dịch vụ thi công,-,2.246.077.458,,,,2246077458.0
Công ty Hà Đô Mee,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty con,Phải trả phí dịch vụ thi công,-,281.803.629,,,,281803629.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 17.1) > TỔNG CỘNG,TỔNG CỘNG,,,23.553.393.628,4.559.869.063,,,23553393628.0,4559869063.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2),,,,
Công ty Hà Đô Thuận Nam,Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2) > Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Trả trước tiền mua hàng hóa,30.577.059.000,-,,,30577059000.0,
Công ty Surya,Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2) > Công ty Surya,Công ty Surya,Công ty con,Trả trước tiền mua hàng hóa,21.800.217.343,-,,,21800217343.0,
Các cá nhân khác,Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2) > Các cá nhân khác,Các cá nhân khác,Bên liên quan khác,Trả trước tiền mua bất động sản,2.780.000.000,-,,,2780000000.0,
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (Thuyết minh số 17.2) > TỔNG CỘNG,TỔNG CỘNG,,,55.157.276.343,-,,,55157276343.0,
