row_label_raw,row_label_full,Mã số,Khoản mục,Thuyết minh,Số trước điều chỉnh,Điều chỉnh,Đơn vị tính: VND Số sau điều chỉnh,numeric__Khoản mục,numeric__Thuyết minh,numeric__Số trước điều chỉnh,numeric__Điều chỉnh,numeric__Đơn vị tính: VND Số sau điều chỉnh
BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG,,,,,
123,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 123,123,Đầu tư nắm giữ đếnngày đáo hạn,(i),35.441.811.260,31.630.421.500,67.072.232.760,,,35441811260.0,31630421500.0,67072232760.0
222,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 222,222,Nguyên giá – Tài sảncố định hữu hình,(ii),26.386.943.766,318.089.483.498,344.476.427.264,,,26386943766.0,318089483498.0,344476427264.0
223,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 223,223,Giá trị khấu hao lũy kế,(ii),(21.247.348.504),(43.585.761.592),(64.833.110.096),,,-21247348504.0,-43585761592.0,-64833110096.0
231,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 231,231,Nguyên giá – Bất độngsản đầu tư,(ii),760.659.857.457,(318.089.483.498),442.570.373.959,,,760659857457.0,-318089483498.0,442570373959.0
232,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 232,232,Giá trị khấu hao lũy kế,(ii),(144.062.991.338),43.585.761.592,(100.477.229.746),,,-144062991338.0,43585761592.0,-100477229746.0
251,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 251,251,Đầu tư vào công ty con,(iii),3.563.470.288.129,56.200.000.000,3.619.670.288.129,,,3563470288129.0,56200000000.0,3619670288129.0
255,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 255,255,Đầu tư nắm giữ đếnngày đáo hạn,(i),37.310.421.500,(31.630.421.500),5.680.000.000,,,37310421500.0,-31630421500.0,5680000000.0
311,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 311,311,Phải trả người bánngắn hạn,(iii),15.941.448.802,56.200.000.000,72.141.448.802,,,15941448802.0,56200000000.0,72141448802.0
320,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 320,320,Vay ngắn hạn,(iv),507.083.604.253,(57.000.000.000),450.083.604.253,,,507083604253.0,-57000000000.0,450083604253.0
338,BẢNG CÂN ĐỐI KẾ TOÁN RIÊNG > 338,338,Vay dài hạn,(iv),1.780.905.102.598,57.000.000.000,1.837.905.102.598,,,1780905102598.0,57000000000.0,1837905102598.0
