row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Số cuối năm (VND) > 59.176.793.297,"Kỳ hạn trả gốc và lãi > Gốc trả từ ngày 19 tháng 2 năm 2021 đến ngày 18 tháng 10 năm 2021, lãi trả 1 tháng/lần","Lãi suất > 5,5% - 5,7%/năm",Hình thức đảm bảo > Tín chấp,numeric__Số cuối năm (VND) > 59.176.793.297,"numeric__Kỳ hạn trả gốc và lãi > Gốc trả từ ngày 19 tháng 2 năm 2021 đến ngày 18 tháng 10 năm 2021, lãi trả 1 tháng/lần","numeric__Lãi suất > 5,5% - 5,7%/năm",numeric__Hình thức đảm bảo > Tín chấp
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,59.176.793.297,,,,59176793297.0,,,
Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,Chi tiết khoản vay dài hạn từ ngân hàng được trình bày như sau:,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm (VND),Kỳ hạn trả gốc và lãi,Lãi suất,Hình thức đảm bảo,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba ĐìnhTrong đó:Vay dài hạn đến hạn trả,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba ĐìnhTrong đó:Vay dài hạn đến hạn trả,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba ĐìnhTrong đó:Vay dài hạn đến hạn trả,259.594.559.681,"Gốc đáo hạn từ ngày 15 tháng 1 năm 2021 đến ngày 15 tháng 4 năm 2027, lãi trả 3 tháng/lần","Lãi suất tiết kiệm 12 tháng trả sau đối với khách hàng cá nhân của ngân hàng cộng biên độ 3,5%/năm",(i),259594559681.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông AnhTrong đó:Vay dài hạn đến hạn trả,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông AnhTrong đó:Vay dài hạn đến hạn trả,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông AnhTrong đó:Vay dài hạn đến hạn trả,61.791.669.665,"Gốc đáo hạn từ ngày 18 tháng 11 năm 2022. Lãi suất vay xác định theo lãi suất huy động tiết kiệm cá nhân 12 tháng trả lãi sau (+) 2,8%/năm.","8,5%/năm",(ii),61791669665.0,,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,297.071.587.392,,,,297071587392.0,,,
