row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2020,Ngày 31 tháng 12 năm 2020_1,Ngày 31 tháng 12 năm 2020_2,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019_1,Ngày 31 tháng 12 năm 2019_2,numeric__Ngày 31 tháng 12 năm 2020,numeric__Ngày 31 tháng 12 năm 2020_1,numeric__Ngày 31 tháng 12 năm 2020_2,numeric__Ngày 31 tháng 12 năm 2019,numeric__Ngày 31 tháng 12 năm 2019_1,numeric__Ngày 31 tháng 12 năm 2019_2
,,,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,Tổng số,Cổ phiếu thường,Cổ phiếu ưu đãi,,,,,,
Vốn góp của cổ đông,Vốn góp của cổ đông,Vốn góp của cổ đông,1.542.750.180.000,1.542.750.180.000,-,1.186.812.890.000,1.186.812.890.000,-,1542750180000.0,1542750180000.0,,1186812890000.0,1186812890000.0,
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,-,326.270.000,326.270.000,-,,,,326270000.0,326270000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.542.750.180.000,1.542.750.180.000,-,1.186.486.620.000,1.186.486.620.000,-,1542750180000.0,1542750180000.0,,1186486620000.0,1186486620000.0,
23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,23.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức,,,,,,
,,,,,,Năm nay,Năm nay,Đơn vị tính: VND,,,,,,
,,,,,,,,Năm trước,,,,,,
Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,,,,,,
Số đầu kỳ,Vốn đã góp của chủ sở hữu > Số đầu kỳ,Số đầu kỳ,,,,1.186.812.890.000,,949.520.360.000,,,,1186812890000.0,,949520360000.0
Trả cổ tức bằng cổ phiếu,Vốn đã góp của chủ sở hữu > Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,,,,355.937.290.000,,237.292.530.000,,,,355937290000.0,,237292530000.0
Số cuối kỳ,Vốn đã góp của chủ sở hữu > Số cuối kỳ,Số cuối kỳ,,,,1.542.750.180.000,,1.186.812.890.000,,,,1542750180000.0,,1186812890000.0
Cổ tức đã chia,Vốn đã góp của chủ sở hữu > Cổ tức đã chia,Cổ tức đã chia,,,,355.937.290.000,,237.292.530.000,,,,355937290000.0,,237292530000.0
