row_label_raw,row_label_full,col_0,Trang,numeric__Trang
Thông tin chung,Thông tin chung,Thông tin chung,1 - 2,
Bảo cáo của Ban Tổng Giám đốc,Bảo cáo của Ban Tổng Giám đốc,Bảo cáo của Ban Tổng Giám đốc,3 - 4,
Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,Bảo cáo kiểm toán độc lập,5 - 6,
Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng,Bàng cân đối kế toán riêng,7 - 10,
Bảo cáo kết quả hoạt động kinh doanh riêng,Bàng cân đối kế toán riêng > Bảo cáo kết quả hoạt động kinh doanh riêng,Bảo cáo kết quả hoạt động kinh doanh riêng,11,11.0
Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,Bảo cáo lưu chuyển tiền tệ riêng,12 - 13,
Thuyết minh báo cáo tài chính riêng,Thuyết minh báo cáo tài chính riêng,Thuyết minh báo cáo tài chính riêng,14 - 70,
