row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Phí dịch vụ thi công,157.726.317.986,49.477.600.011,,,157726317986.0,49477600011.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Phí dịch vụ thi công đã trả,141.091.311.382,73.163.084.301,,,141091311382.0,73163084301.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Doanh thu cung cấp dịch vụ,3.034.534.535,2.146.946.322,,,3034534535.0,2146946322.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Cổ tức được chia,2.561.323.000,2.561.323.000,,,2561323000.0,2561323000.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Thu hồi cho vay,-,13.833.459.000,,,,13833459000.0
Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty Hà Đô 1,Công ty con,Lãi cho vay,-,764.630.223,,,,764630223.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Phí dịch vụ thi công,480.217.120,2.023.054.552,,,480217120.0,2023054552.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Phí dịch vụ thi công đã trả,1.891.001.456,12.366.899.479,,,1891001456.0,12366899479.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Doanh thu cung cấp dịch vụ,-,1.847.310.219,,,,1847310219.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Góp vốn thông qua bù trừ với cổ tức phải thu,-,6.150.000.000,,,,6150000000.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Cổ tức được chia,-,1.562.694.000,,,,1562694000.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Cho vay,-,51.712.628.583,,,,51712628583.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Thu hồi cho vay,-,26.954.453.688,,,,26954453688.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Lãi vay phải thu,1.168.029.934,2.514.233.882,,,1168029934.0,2514233882.0
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty con (đến ngày 23 tháng 4 năm 2020),Lãi vay đã thu,-,31.712.628.583,,,,31712628583.0
Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty con,Phí dịch vụ thi công,2.889.180.000,14.120.666.734,,,2889180000.0,14120666734.0
Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty con,Phí dịch vụ thi công đã trả,2.904.249.089,20.679.104.946,,,2904249089.0,20679104946.0
Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty con,Doanh thu cung cấp dịch vụ,681.898.111,1.375.764.102,,,681898111.0,1375764102.0
Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty Hà Đô Mee,Công ty con,Cổ tức phải thu,1.021.020.000,-,,,1021020000.0,
