row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số đầu năm(Trình bày lại) > Giá gốc,Số đầu năm(Trình bày lại) > Dự phòng,numeric__Thuyết minh,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm(Trình bày lại) > Giá gốc,numeric__Số đầu năm(Trình bày lại) > Dự phòng
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,16.1,4.580.849.857.526,(9.258.048.847),3.619.670.288.129,(11.358.980.000),161.0,4580849857526.0,-9258048847.0,3619670288129.0,-11358980000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,16.2,130.000.000,-,130.000.000,-,162.0,130000000.0,,130000000.0,
Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,16.3,4.000.000.000,-,5.680.000.000,-,163.0,4000000000.0,,5680000000.0,
TỔNGCỘNG,TỔNGCỘNG,TỔNGCỘNG,,4.584.979.857.526,(9.258.048.847),3.625.480.288.129,(11.358.980.000),,4584979857526.0,-9258048847.0,3625480288129.0,-11358980000.0
