row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ biểu quyết (%),numeric__Trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty Hà Đô 1,51%,51%,"Số 186 Hoàng Sâm, phường Nghĩa Đô, quận Cầu Giấy, Hà Nội","Xây dựng công trình giao thông, công trình dân dụng",,0.51,0.51,,
2,2,2,Công ty Khánh Hà,71%,71%,"Cầu Đá, phường Vĩnh Nguyên, thành phố Nha Trang, tỉnh Khánh Hòa",Đầu tư và kinh doanh bất động sản,,0.71,0.71,,
3,3,3,Công ty 756 Sài Gòn,89%,89%,"Số 200 đường 3/2, phường 12, quận 10, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.89,0.89,,
4,4,4,Công ty Hà Đô Mee,51%,51%,"Số 186 Hoàng Sâm, phường Nghĩa Đô, quận Cầu Giấy, Hà Nội","Xây dựng công trình giao thông, công trình dân dụng",,0.51,0.51,,
5,5,5,Công ty ZaHưng,52%,52%,"Số nhà 23, ngõ 82/6, đường Nghĩa Tân, phường Nghĩa Tân, quận Cầu Giấy, Hà Nội","Sản xuất, truyền tải và phân phối điện",,0.52,0.52,,
6,6,6,Công ty Sông Tranh 4 (i),63%,90%,"Thôn Tam Trú, xã Quế Lưu, huyện Hiệp Đức, tỉnh Quảng Nam, Việt Nam","Sản xuất, truyền tải và phân phối điện",,0.63,0.9,,
7,7,7,Công ty Hà Đô Bình Thuận (i),83%,90%,"Số 101 thôn Hồng Trung, xã Hồng Phong, huyện Bắc Bình, tỉnh Bình Thuận","Sản xuất, truyền tải và phân phối điện",,0.83,0.9,,
8,8,8,Công ty Quốc tế Hà Đô,100%,100%,"Số 272, đường Dondeng, bản Nongtha Tay huyện Chánthabuly, thủ đô Viếng Chăn, Lảo",Đầu tư và kinh doanh bất động sản,,1.0,1.0,,
9,9,9,Công ty Quản lý Hà Đô,100%,100%,"Số 60M Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh","Tư vấn, quản lý bất động sản",,1.0,1.0,,
10,10,10,Công ty Bình An Riverside,99%,99%,"Số 2735 Phạm Thế Hiển, phường 7, quận 8, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.99,0.99,,
11,11,11,Công ty Thiết bị Giáo dục 1,99%,99%,"Số 62 Phan Đình Giót, phường Phương Liệt, quận Thanh Xuân, Hà Nội",Đầu tư và kinh doanh bất động sản,,0.99,0.99,,
12,12,12,Công ty Agrita - Quảng Nam (i),98%,100%,"Số 44 Lê Quý Đôn, thị trấn Khâm Đức, huyện Phước Sơn, tỉnh Quảng Nam","Sản xuất, truyền tải và phân phối điện",,0.98,1.0,,
13,13,13,Công ty Minh Long (i),"99,5%","99,7%","Số 242 Cống Quỳnh, phường Phạm Ngũ Lão, quận 1, thành phố Hồ Chí Minh",Hoạt động mua bán nợ,,0.995,0.997,,
14,14,14,Công ty TNHH một thành viên Điện gió Hà Đô Thuận Nam (“Công ty Hà Đô Thuận Nam”),100%,100%,"Thôn Phước An 1, xã Phước Vinh, huyện Ninh Phước, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện",,1.0,1.0,,
15,15,15,Công ty TNHH Năng lượng Surya Prakash Việt Nam (“Công ty Sury””),100%,100%,"Thôn Phước An 1, xã Phước Vinh, huyện Ninh Phước, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện",,1.0,1.0,,
16,16,16,Công ty Hà Đô Ninh Thuận (ii),100%,100%,"Số 6 Phạm Đình Hồ, khu phố 6, phường Mỹ Bình, thành phố Phan Rang - Tháp Chàm, tỉnh Ninh Thuận","Sản xuất, truyền tải và phân phối điện",,1.0,1.0,,
