row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Công ty Agrita – Quảng Nam,Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Công ty con,Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Phải trả lãi vay,Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > 4.919.616.439,Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > -,numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Công ty con,numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > Phải trả lãi vay,numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > 4.919.616.439,numeric__Đơn vị tính: VND > Chi phí phải trả ngắn hạn (Thuyết minh số 19) > -
Công ty Minh Long,Công ty Minh Long,Công ty Minh Long,Công ty con,Phải trả lãi vay,3.018.044.931,-,,,3018044931.0,
Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty 756 Sài Gòn,Công ty con,Phải trả lãi vay,502.590.658,94.759.105.753,,,502590658.0,94759105753.0
Công ty ZaHưng,Công ty ZaHưng,Công ty ZaHưng,Công ty con,Phải trả lãi vay,2.382.608.220,-,,,2382608220.0,
Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty Hà Đô Thuận Nam,Công ty con,Phải trả lãi vay,1.181.895.890,-,,,1181895890.0,
Công ty Cổ phần Đầu tư IP Việt Nam,Công ty Cổ phần Đầu tư IP Việt Nam,Công ty Cổ phần Đầu tư IP Việt Nam,Công ty có chung thành viên HĐQT,Phải trả lãi vay,1.974.230.137,1.974.230.137,,,1974230137.0,1974230137.0
Công ty Quản lý Hà Đỏ,Công ty Quản lý Hà Đỏ,Công ty Quản lý Hà Đỏ,Công ty con,Phải trả lãi vay,440.852.053,513.000.000,,,440852053.0,513000000.0
Nguyễn Hữu Vinh,Nguyễn Hữu Vinh,Nguyễn Hữu Vinh,Thành viên HĐQT,Phải trả lãi vay,95.835.616,-,,,95835616.0,
Nguyễn Trọng Minh,Nguyễn Trọng Minh,Nguyễn Trọng Minh,Phó chủ tịch HĐQT,Phải trả lãi vay,216.986.301,-,,,216986301.0,
