row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Văn phòng Hà Đô Airport Building,Văn phòng Hà Đô Airport Building,Văn phòng Hà Đô Airport Building,180.766.432.781,180.766.432.781,180766432781.0,180766432781.0
Tòa nhà Hà Đô Miền Nam,Tòa nhà Hà Đô Miền Nam,Tòa nhà Hà Đô Miền Nam,133.600.517.254,133.600.517.254,133600517254.0,133600517254.0
Tòa nhà Hà Đô 186 Hoàng Sâm,Tòa nhà Hà Đô 186 Hoàng Sâm,Tòa nhà Hà Đô 186 Hoàng Sâm,27.488.274.808,19.950.342.401,27488274808.0,19950342401.0
Tầng thương mại chung cư CC1 Dịch Vọng,Tầng thương mại chung cư CC1 Dịch Vọng,Tầng thương mại chung cư CC1 Dịch Vọng,23.794.849.884,23.794.849.884,23794849884.0,23794849884.0
Tầng thương mại chung cư N10,Tầng thương mại chung cư N10,Tầng thương mại chung cư N10,21.336.181.353,21.336.181.353,21336181353.0,21336181353.0
Tầng hầm chung cư N10,Tầng hầm chung cư N10,Tầng hầm chung cư N10,16.882.854.908,16.882.854.908,16882854908.0,16882854908.0
Tầng thương mại chung cư 183 Hoàng Văn Thái,Tầng thương mại chung cư 183 Hoàng Văn Thái,Tầng thương mại chung cư 183 Hoàng Văn Thái,13.952.126.285,13.952.126.285,13952126285.0,13952126285.0
Tầng thương mại chung cư Nguyễn Văn Công,Tầng thương mại chung cư Nguyễn Văn Công,Tầng thương mại chung cư Nguyễn Văn Công,10.618.892.068,10.618.892.068,10618892068.0,10618892068.0
Tầng hầm chung cư CC1 Dịch Vọng,Tầng hầm chung cư CC1 Dịch Vọng,Tầng hầm chung cư CC1 Dịch Vọng,9.593.876.960,9.593.876.960,9593876960.0,9593876960.0
Tầng thương mại chung cư Hoàng Sâm,Tầng thương mại chung cư Hoàng Sâm,Tầng thương mại chung cư Hoàng Sâm,4.881.479.260,4.881.479.260,4881479260.0,4881479260.0
Tầng thương mại chung cư Z751,Tầng thương mại chung cư Z751,Tầng thương mại chung cư Z751,4.057.028.078,4.057.028.078,4057028078.0,4057028078.0
Sân tennis,Sân tennis,Sân tennis,3.135.792.727,3.135.792.727,3135792727.0,3135792727.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,450.108.306.366,442.570.373.959,450108306366.0,442570373959.0
