row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Số đầu năm,Vốn cổ phần đã phát hành > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 949.520.360.000,Thặng dư vốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > (171.550.000),Cổ phiếu quỹ > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > (326.270.000),Quỹ đầu tư phát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 23.516.835.886,Lợi nhuận sau thuế chưa phân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 286.933.235.203,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 1.259.472.611.089,numeric__Vốn cổ phần đã phát hành > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 949.520.360.000,numeric__Thặng dư vốn cổ phần > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > (171.550.000),numeric__Cổ phiếu quỹ > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > (326.270.000),numeric__Quỹ đầu tư phát triển > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 23.516.835.886,numeric__Lợi nhuận sau thuế chưa phân phối > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 286.933.235.203,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 1.259.472.611.089
- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,237.292.530.000,-,-,-,(237.292.530.000),-,237292530000.0,,,,-237292530000.0,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,686.964.160.601,686.964.160.601,,,,,686964160601.0,686964160601.0
- Cổ tức,- Cổ tức,- Cổ tức,-,-,-,-,(118.648.662.000),(118.648.662.000),,,,,-118648662000.0,-118648662000.0
- Phân bổ quỹ khen thưởng. phúc lợi,- Phân bổ quỹ khen thưởng. phúc lợi,- Phân bổ quỹ khen thưởng. phúc lợi,-,-,-,-,(10.579.000.000),(10.579.000.000),,,,,-10579000000.0,-10579000000.0
- Khác,- Khác,- Khác,-,-,-,-,(184.579.764),(184.579.764),,,,,-184579764.0,-184579764.0
Số cuối năm,Số cuối năm,Số cuối năm,1.186.812.890.000,(171.550.000),(326.270.000),23.516.835.886,607.192.624.040,1.817.024.529.926,1186812890000.0,-171550000.0,-326270000.0,23516835886.0,607192624040.0,1817024529926.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số đầu năm,Số đầu năm,1.186.812.890.000,(171.550.000),(326.270.000),23.516.835.886,607.192.624.040,1.817.024.529.926,1186812890000.0,-171550000.0,-326270000.0,23516835886.0,607192624040.0,1817024529926.0
- Phát hành cổ phiếu trả cổ tức,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Phát hành cổ phiếu trả cổ tức,- Phát hành cổ phiếu trả cổ tức,355.937.290.000,-,-,-,(355.937.290.000),-,355937290000.0,,,,-355937290000.0,
- Tạm ứng cổ tức(Thuyết minh số 23.4),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Tạm ứng cổ tức(Thuyết minh số 23.4),- Tạm ứng cổ tức(Thuyết minh số 23.4),-,-,-,-,(154.275.018.000),(154.275.018.000),,,,,-154275018000.0,-154275018000.0
- Tái phát hành cổ phiếu quỹ (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Tái phát hành cổ phiếu quỹ (*),- Tái phát hành cổ phiếu quỹ (*),-,559.542.000,326.270.000,-,-,885.812.000,,559542000.0,326270000.0,,,885812000.0
- Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.033.495.943.488,1.033.495.943.488,,,,,1033495943488.0,1033495943488.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Số cuối năm,Số cuối năm,1.542.750.180.000,387.992.000,-,23.516.835.886,1.130.476.259.528,2.697.131.267.414,1542750180000.0,387992000.0,,23516835886.0,1130476259528.0,2697131267414.0
