row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Cổ tức đã thu,9.535.983.051,8.069.322.176,,,9535983051.0,8069322176.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phí dịch vụ quản lý,19.140.325.041,18.766.690.472,,,19140325041.0,18766690472.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Phí dịch vụ quản lý đã trả,19.911.537.887,18.567.360.217,,,19911537887.0,18567360217.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,3.145.883.962,3.258.469.856,,,3145883962.0,3258469856.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Đi vay,7.500.000.000,12.500.000.000,,,7500000000.0,12500000000.0
Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty Quản lý Hà Đô,Công ty con,Bù trừ cổ tức với khoản vay,5.000.000.000,4.995.294.680,,,5000000000.0,4995294680.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Doanh thu xây lắp,458.551.952.965,472.179.829,,,458551952965.0,472179829.0
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Tiền thu từ xây lắp,525.795.365.601,-,,,525795365601.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Góp vốn,366.585.012.000,-,,,366585012000.0,
Công ty Surya,Công ty Surya,Công ty Surya,Công ty con,Cho vay,25.000.000.000,-,,,25000000000.0,
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Góp vốn,-,13.680.000.000,,,,13680000000.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Cho vay,-,130.000.000.000,,,,130000000000.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Thu hồi khoản cho vay,-,130.000.000.000,,,,130000000000.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Lãi vay phải thu,-,1.252.191.781,,,,1252191781.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Lãi vay đã thu,-,1.252.191.781,,,,1252191781.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,2.399.120.933,4.435.458.674,,,2399120933.0,4435458674.0
Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty Hà Đô Bình Thuận,Công ty con,Đã thu từ bán hàng và cung cấp dịch vụ,5.260.904.543,1.417.415.618,,,5260904543.0,1417415618.0
Công ty Khánh Hà,Công ty Khánh Hà,Công ty Khánh Hà,Công ty con,Thanh toán gốc vay,-,29.162.234.104,,,,29162234104.0
