row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập (*),Thu nhập (*)_1,numeric__Chức vụ,numeric__Thu nhập (*),numeric__Thu nhập (*)_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Nguyễn Trọng Thông,Tên > Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Chủ tịch,1.232.976.190,1.454.500.000,,1232976190.0,1454500000.0
Ông Nguyễn Văn Tô,Tên > Ông Nguyễn Văn Tô,Ông Nguyễn Văn Tô,Ủy viên HĐQT,692.606.476,633.083.000,,692606476.0,633083000.0
Ông Nguyễn Trọng Minh,Tên > Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ủy viên HĐQT kiểm Phó Tổng Giám đốc,1.834.040.000,1.353.340.000,,1834040000.0,1353340000.0
Ông Đào Hữu Khanh,Tên > Ông Đào Hữu Khanh,Ông Đào Hữu Khanh,Ủy viên HĐQT,1.295.278.571,1.105.950.593,,1295278571.0,1105950593.0
Ông Lê Xuân Long,Tên > Ông Lê Xuân Long,Ông Lê Xuân Long,Ủy viên HĐQT,442.595.238,227.500.000,,442595238.0,227500000.0
Ông Hoàng Đình Hùng,Tên > Ông Hoàng Đình Hùng,Ông Hoàng Đình Hùng,Thành viên độc lập HĐQT,1.231.844.471,271.417.000,,1231844471.0,271417000.0
Ông Ngô Xuân Quyền,Tên > Ông Ngô Xuân Quyền,Ông Ngô Xuân Quyền,Thành viên độc lập HĐQT,243.500.000,124.750.000,,243500000.0,124750000.0
Ông Nguyễn Văn Đông,Tên > Ông Nguyễn Văn Đông,Ông Nguyễn Văn Đông,Tổng Giám đốc,-,468.080.000,,,468080000.0
Ông Chu Tuấn Anh,Tên > Ông Chu Tuấn Anh,Ông Chu Tuấn Anh,Phó Tổng Giám đốc,1.984.140.000,1.432.840.000,,1984140000.0,1432840000.0
Ông Trần Trung Dũng,Tên > Ông Trần Trung Dũng,Ông Trần Trung Dũng,Phó Tổng Giám đốc,1.223.027.227,157.715.889,,1223027227.0,157715889.0
Ông Nguyễn Hữu Vinh,Tên > Ông Nguyễn Hữu Vinh,Ông Nguyễn Hữu Vinh,Phó Tổng Giám đốc,1.170.999.500,-,,1170999500.0,
Ông Đình Văn Võ,Tên > Ông Đình Văn Võ,Ông Đình Văn Võ,Phó Tổng Giám đốc,426.001.773,-,,426001773.0,
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,11.777.009.446,7.229.176.482,,11777009446.0,7229176482.0
