row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số đầu năm (Trình bày lại) > Giá gốc,Số đầu năm (Trình bày lại) > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm (Trình bày lại) > Giá gốc,numeric__Số đầu năm (Trình bày lại) > Giá trị ghi sổ
Đầu tư trái phiếu (i),Đầu tư trái phiếu (i),Đầu tư trái phiếu (i),4.000.000.000,4.000.000.000,5.680.000.000,5.680.000.000,4000000000.0,4000000000.0,5680000000.0,5680000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.000.000.000,4.000.000.000,5.680.000.000,5.680.000.000,4000000000.0,4000000000.0,5680000000.0,5680000000.0
