row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị văn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị văn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm (Trình bày lại)- Tăng trong năm,Nguyên giá: > Số đầu năm (Trình bày lại)- Tăng trong năm,Số đầu năm (Trình bày lại)- Tăng trong năm,244.421.955.098-,85.056.611.786-,10.287.014.909155.000.000,4.710.845.471-,344.476.427.264155.000.000,,,1.0287014909155e+19,,3.44476427264155e+20
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,244.421.955.098,85.056.611.786,10.442.014.909,4.710.845.471,344.631.427.264,244421955098.0,85056611786.0,10442014909.0,4710845471.0,344631427264.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,9.777.237.195,87.740.736,7.403.574.909,2.060.257.744,19.328.810.584,9777237195.0,87740736.0,7403574909.0,2060257744.0,19328810584.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm (Trình bày lại)- Khấu hao trong năm,Giá trị hao mòn lũy kế: > Số đầu năm (Trình bày lại)- Khấu hao trong năm,Số đầu năm (Trình bày lại)- Khấu hao trong năm,32.477.809.5027.569.754.474,21.815.301.3447.617.067.664,7.971.375.914315.273.171,2.568.623.336530.845.509,64.833.110.09616.032.940.818,3.2477809502756975e+20,2.1815301344761705e+20,7.971375914315273e+18,2.5686233365308457e+18,6.483311009616033e+21
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,40.047.563.976,29.432.369.008,8.286.649.085,3.099.468.845,80.866.050.914,40047563976.0,29432369008.0,8286649085.0,3099468845.0,80866050914.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),211.944.145.596,63.241.310.442,2.315.638.995,2.142.222.135,279.643.317.168,211944145596.0,63241310442.0,2315638995.0,2142222135.0,279643317168.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,204.374.391.122,55.624.242.778,2.155.365.824,1.611.376.626,263.765.376.350,204374391122.0,55624242778.0,2155365824.0,1611376626.0,263765376350.0
