row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Bản Việt > Công ty Cổ phần Chứng khoán VNDirect Trong đó: Trái phiếu dài hạn đến hạn trả > Công ty Cổ phần Chứng khoán Bảo Việt > Công ty Cổ phần Chứng khoán SSI,Số cuối năm (VND) > 495.060.264.668 > 249.537.671.233 > 149.044.426.291 > 149.016.986.302,"Kỳ hạn trả gốc và lãi > Gốc đáo hạn ngày 12 tháng 11 năm 2022, lãi trả 12 tháng/lần > Gốc đáo hạn ngày 15 tháng 5 năm 2021, lãi trả 12 tháng/lần > Gốc đáo hạn ngày 22 tháng 5 năm 2022, lãi trả 6 tháng/lần > Gốc đáo hạn ngày 11 tháng 8 năm 2022, lãi trả 6 tháng/lần","Lãi suất > 6%/năm (iii) > Lãi suất cố định 10,5%/năm trong năm đầu tiên và lãi suất tiết kiệm kỳ hạn 12 tháng lãi trả sau cộng biên độ 3,7%/năm cho những năm tiếp theo > 10,5%/năm",Hình thức đảm bảo > (iii) > 20.728.679 cổ phần của Công ty do các cổ đông nằm giữ > 16.000.000 cổ phần của Công ty ZaHưng do Công ty nằm giữ > 16.000.000 cổ phần của Công ty Za Hưng và 9.180.000 cổ phần của Công ty Sông Tranh 4 do Công ty nằm giữ,numeric__Số cuối năm (VND) > 495.060.264.668 > 249.537.671.233 > 149.044.426.291 > 149.016.986.302,"numeric__Kỳ hạn trả gốc và lãi > Gốc đáo hạn ngày 12 tháng 11 năm 2022, lãi trả 12 tháng/lần > Gốc đáo hạn ngày 15 tháng 5 năm 2021, lãi trả 12 tháng/lần > Gốc đáo hạn ngày 22 tháng 5 năm 2022, lãi trả 6 tháng/lần > Gốc đáo hạn ngày 11 tháng 8 năm 2022, lãi trả 6 tháng/lần","numeric__Lãi suất > 6%/năm (iii) > Lãi suất cố định 10,5%/năm trong năm đầu tiên và lãi suất tiết kiệm kỳ hạn 12 tháng lãi trả sau cộng biên độ 3,7%/năm cho những năm tiếp theo > 10,5%/năm",numeric__Hình thức đảm bảo > (iii) > 20.728.679 cổ phần của Công ty do các cổ đông nằm giữ > 16.000.000 cổ phần của Công ty ZaHưng do Công ty nằm giữ > 16.000.000 cổ phần của Công ty Za Hưng và 9.180.000 cổ phần của Công ty Sông Tranh 4 do Công ty nằm giữ
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,793.121.677.261,,,,793121677261.0,,,
Trong đó: Trái phiếu dài hạn Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn Trái phiếu dài hạn đến hạn trả,1.042.659.348.494(249.537.671.233),,,,,,,
