row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Tiền mặt,Tiền mặt,Tiền mặt,2.557.572.560,3.977.383.122,2557572560.0,3977383122.0
Tiền gửi ngân hàng,Tiền gửi ngân hàng,Tiền gửi ngân hàng,175.878.389.801,172.500.497.929,175878389801.0,172500497929.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,178.435.962.361,176.477.881.051,178435962361.0,176477881051.0
