row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cấn trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cấn trừ trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.696.581.645,117.319.297.760,118.793.006.303,1.222.873.102,2696581645.0,117319297760.0,118793006303.0,1222873102.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,867.962.173,11.412.907.296,11.447.013.389,833.856.080,867962173.0,11412907296.0,11447013389.0,833856080.0
Thuế khác,Phải nộp > Thuế khác,Thuế khác,1.000.000,170.070.352,157.726.115,13.344.237,1000000.0,170070352.0,157726115.0,13344237.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,3.565.543.818,128.902.275.408,130.397.745.807,2.070.073.419,3565543818.0,128902275408.0,130397745807.0,2070073419.0
,,,Số đầu năm,Số phải thu trong năm,Số đã thu/cấn trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,23.152.329.623,42.830.044.027,41.637.868.385,24.344.505.265,23152329623.0,42830044027.0,41637868385.0,24344505265.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.937.094.999,7.062.657.268,-,9.999.752.267,2937094999.0,7062657268.0,,9999752267.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,19.660.816,191.210.070,182.199.350,28.671.536,19660816.0,191210070.0,182199350.0,28671536.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,26.109.085.438,50.083.911.365,41.820.067.735,34.372.929.068,26109085438.0,50083911365.0,41820067735.0,34372929068.0
