row_label_raw,row_label_full,col_0,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.329.510.678.734,1.329.510.678.734,2.785.493.732.476,3.801.405.858.873,2.345.422.805.131,2.345.422.805.131,1329510678734.0,1329510678734.0,2785493732476.0,3801405858873.0,2345422805131.0,2345422805131.0
Vay ngắn hàng (1),Vay ngắn hàng (1),Vay ngắn hàng (1),213.724.938.145,213.724.938.145,267.504.401.696,388.379.082.915,334.599.619.364,334.599.619.364,213724938145.0,213724938145.0,267504401696.0,388379082915.0,334599619364.0,334599619364.0
Vay ngắn hàng ngắn hạn,Vay ngắn hàng ngắn hạn,Vay ngắn hàng ngắn hạn,18.785.565.720,18.785.565.720,60.663.161.658,367.193.095.078,325.315.499.140,325.315.499.140,18785565720.0,18785565720.0,60663161658.0,367193095078.0,325315499140.0,325315499140.0
Vay dài hạn ngắn hàng đến hạn trả,Vay dài hạn ngắn hàng đến hạn trả,Vay dài hạn ngắn hàng đến hạn trả,194.939.372.425,194.939.372.425,206.841.240.038,21.185.987.837,9.284.120.224,9.284.120.224,194939372425.0,194939372425.0,206841240038.0,21185987837.0,9284120224.0,9284120224.0
Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),769.335.294.117,769.335.294.117,1.097.888.052.687,879.671.758.570,551.119.000.000,551.119.000.000,769335294117.0,769335294117.0,1097888052687.0,879671758570.0,551119000000.0,551119000000.0
Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),277.211.446.472,277.211.446.472,1.207.362.278.093,2.167.405.017.388,1.237.254.185.767,1.237.254.185.767,277211446472.0,277211446472.0,1207362278093.0,2167405017388.0,1237254185767.0,1237254185767.0
Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),50.000.000.000,50.000.000.000,190.000.000.000,140.000.000.000,-,-,50000000000.0,50000000000.0,190000000000.0,140000000000.0,,
Vay cá nhân (4),Vay cá nhân (4),Vay cá nhân (4),19.239.000.000,19.239.000.000,22.739.000.000,225.950.000.000,222.450.000.000,222.450.000.000,19239000000.0,19239000000.0,22739000000.0,225950000000.0,222450000000.0,222450000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.988.378.477.211,1.988.378.477.211,1.311.276.472.086,1.669.874.238.946,2.346.976.244.071,2.346.976.244.071,1988378477211.0,1988378477211.0,1311276472086.0,1669874238946.0,2346976244071.0,2346976244071.0
Vay ngắn hàng (1),Vay ngắn hàng (1),Vay ngắn hàng (1),465.840.218.172,465.840.218.172,506.963.556.622,219.529.744.070,178.406.405.620,178.406.405.620,465840218172.0,465840218172.0,506963556622.0,219529744070.0,178406405620.0,178406405620.0
Trái phiếu (2),Trái phiếu (2),Trái phiếu (2),1.522.538.259.039,1.522.538.259.039,804.312.915.464,1.450.344.494.876,2.168.569.838.451,2.168.569.838.451,1522538259039.0,1522538259039.0,804312915464.0,1450344494876.0,2168569838451.0,2168569838451.0
Tổng,Tổng,Tổng,3.317.889.155.945,3.317.889.155.945,4.096.770.204.562,5.471.280.097.819,4.692.399.049.202,4.692.399.049.202,3317889155945.0,3317889155945.0,4096770204562.0,5471280097819.0,4692399049202.0,4692399049202.0
