row_label_raw,row_label_full,col_0,Phân mềmmáy tính,Tổng,numeric__Phân mềmmáy tính,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,428.507.500,428.507.500,428507500.0,428507500.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,511.500.000,511.500.000,511500000.0,511500000.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,511.500.000,511.500.000,511500000.0,511500000.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2022,Giảm trong năm > Số dư tại 31/12/2022,Số dư tại 31/12/2022,940.007.500,940.007.500,940007500.0,940007500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,239.542.197,239.542.197,239542197.0,239542197.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,143.918.189,143.918.189,143918189.0,143918189.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,143.918.189,143.918.189,143918189.0,143918189.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2022,Giảm trong năm > Số dư tại 31/12/2022,Số dư tại 31/12/2022,383.460.386,383.460.386,383460386.0,383460386.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại 01/01/2022,GIÁ TRỊ CÒN LẠI > Tại 01/01/2022,Tại 01/01/2022,188.965.303,188.965.303,188965303.0,188965303.0
Tại 31/12/2022,GIÁ TRỊ CÒN LẠI > Tại 31/12/2022,Tại 31/12/2022,556.547.114,556.547.114,556547114.0,556547114.0
